tunnel_num s t prio weight
shutdown 7 15 h
shutdown 7 16 l
shutdown 7 16 h
shutdown 8 0 l
shutdown 8 0 h
shutdown 8 1 l
shutdown 8 1 h
shutdown 8 2 l
shutdown 8 2 h
shutdown 8 3 l
shutdown 8 3 h
shutdown 8 4 l
shutdown 8 4 h
shutdown 8 5 l
shutdown 8 5 h
shutdown 8 6 l
shutdown 8 6 h
shutdown 8 7 l
shutdown 8 7 h
shutdown 8 9 l
shutdown 8 9 h
shutdown 8 10 l
shutdown 8 10 h
shutdown 8 11 l
shutdown 8 11 h
shutdown 8 12 l
shutdown 8 12 h
shutdown 8 13 l
shutdown 8 13 h
shutdown 8 14 l
shutdown 8 14 h
shutdown 8 15 l
shutdown 8 15 h
shutdown 8 16 l
shutdown 8 16 h
shutdown 9 0 l
shutdown 9 0 h
shutdown 9 1 l
shutdown 9 1 h
shutdown 9 2 l
shutdown 9 2 h
shutdown 9 3 l
shutdown 9 3 h
shutdown 9 4 l
shutdown 9 4 h
shutdown 9 5 l
shutdown 9 5 h
shutdown 9 6 l
shutdown 9 6 h
shutdown 9 7 l
shutdown 9 7 h
shutdown 9 8 l
shutdown 9 8 h
shutdown 9 10 l
shutdown 9 10 h
shutdown 9 11 l
shutdown 9 11 h
shutdown 9 12 l
shutdown 9 12 h
shutdown 9 13 l
shutdown 9 13 h
shutdown 9 14 l
shutdown 9 14 h
shutdown 9 15 l
shutdown 9 15 h
shutdown 9 16 l
shutdown 9 16 h
shutdown 10 0 l
shutdown 10 0 h
shutdown 10 1 l
shutdown 10 1 h
shutdown 10 2 l
shutdown 10 2 h
shutdown 10 3 l
shutdown 10 3 h
shutdown 10 4 l
shutdown 10 4 h
shutdown 10 5 l
shutdown 10 5 h
shutdown 10 6 l
shutdown 10 6 h
shutdown 10 7 l
shutdown 10 7 h
shutdown 10 8 l
shutdown 10 8 h
shutdown 10 9 l
shutdown 10 9 h
shutdown 10 11 l
shutdown 10 11 h
shutdown 10 12 l
shutdown 10 12 h
shutdown 10 13 l
shutdown 10 13 h
shutdown 10 14 l
shutdown 10 14 h
shutdown 10 15 l
shutdown 10 15 h
shutdown 10 16 l
shutdown 10 16 h
shutdown 11 0 l
shutdown 11 0 h
shutdown 11 1 l
shutdown 11 1 h
shutdown 11 2 l
shutdown 11 2 h
shutdown 11 3 l
shutdown 11 3 h
shutdown 11 4 l
shutdown 11 4 h
shutdown 11 5 l
shutdown 11 5 h
shutdown 11 6 l
shutdown 11 6 h
shutdown 11 7 l
shutdown 11 7 h
shutdown 11 8 l
shutdown 11 8 h
shutdown 11 9 l
shutdown 11 9 h
shutdown 11 10 l
shutdown 11 10 h
shutdown 11 12 l
shutdown 11 12 h
shutdown 11 13 l
shutdown 11 13 h
shutdown 11 14 l
shutdown 11 14 h
shutdown 11 15 l
shutdown 11 15 h
shutdown 11 16 l
shutdown 11 16 h
shutdown 12 0 l
shutdown 12 0 h
shutdown 12 1 l
shutdown 12 1 h
shutdown 12 2 l
shutdown 12 2 h
shutdown 12 3 l
shutdown 12 3 h
shutdown 12 4 l
shutdown 12 4 h
shutdown 12 5 l
shutdown 12 5 h
shutdown 12 6 l
shutdown 12 6 h
shutdown 12 7 l
shutdown 12 7 h
shutdown 12 8 l
shutdown 12 8 h
shutdown 12 9 l
shutdown 12 9 h
shutdown 12 10 l
shutdown 12 10 h
shutdown 12 11 l
shutdown 12 11 h
shutdown 12 13 l
shutdown 12 13 h
shutdown 12 14 l
shutdown 12 14 h
shutdown 12 15 l
shutdown 12 15 h
shutdown 12 16 l
shutdown 12 16 h
shutdown 13 0 l
shutdown 13 0 h
shutdown 13 1 l
shutdown 13 1 h
shutdown 13 2 l
shutdown 13 2 h
shutdown 13 3 l
shutdown 13 3 h
shutdown 13 4 l
shutdown 13 4 h
shutdown 13 5 l
shutdown 13 5 h
shutdown 13 6 l
shutdown 13 6 h
shutdown 13 7 l
shutdown 13 7 h
shutdown 13 8 l
shutdown 13 8 h
shutdown 13 9 l
shutdown 13 9 h
shutdown 13 10 l
shutdown 13 10 h
shutdown 13 11 l
shutdown 13 11 h
shutdown 13 12 l
shutdown 13 12 h
shutdown 13 14 l
shutdown 13 14 h
shutdown 13 15 l
shutdown 13 15 h
shutdown 13 16 l
shutdown 13 16 h
shutdown 14 0 l
shutdown 14 0 h
shutdown 14 1 l
shutdown 14 1 h
shutdown 14 2 l
shutdown 14 2 h
shutdown 14 3 l
shutdown 14 3 h
shutdown 14 4 l
shutdown 14 4 h
shutdown 14 5 l
shutdown 14 5 h
shutdown 14 6 l
shutdown 14 6 h
shutdown 14 7 l
shutdown 14 7 h
shutdown 14 8 l
shutdown 14 8 h
shutdown 14 9 l
shutdown 14 9 h
shutdown 14 10 l
shutdown 14 10 h
shutdown 14 11 l
shutdown 14 11 h
shutdown 14 12 l
shutdown 14 12 h
shutdown 14 13 l
shutdown 14 13 h
shutdown 14 15 l
shutdown 14 15 h
shutdown 14 16 l
shutdown 14 16 h
shutdown 15 0 l
shutdown 15 0 h
shutdown 15 1 l
shutdown 15 1 h
shutdown 15 2 l
shutdown 15 2 h
shutdown 15 3 l
shutdown 15 3 h
shutdown 15 4 l
shutdown 15 4 h
shutdown 15 5 l
shutdown 15 5 h
shutdown 15 6 l
shutdown 15 6 h
shutdown 15 7 l
shutdown 15 7 h
shutdown 15 8 l
shutdown 15 8 h
shutdown 15 9 l
shutdown 15 9 h
shutdown 15 10 l
shutdown 15 10 h
shutdown 15 11 l
shutdown 15 11 h
shutdown 15 12 l
shutdown 15 12 h
shutdown 15 13 l
shutdown 15 13 h
shutdown 15 14 l
shutdown 15 14 h
shutdown 15 16 l
shutdown 15 16 h
shutdown 16 0 l
shutdown 16 0 h
shutdown 16 1 l
shutdown 16 1 h
shutdown 16 2 l
shutdown 16 2 h
shutdown 16 3 l
shutdown 16 3 h
shutdown 16 4 l
shutdown 16 4 h
shutdown 16 5 l
shutdown 16 5 h
shutdown 16 6 l
shutdown 16 6 h
shutdown 16 7 l
shutdown 16 7 h
shutdown 16 8 l
shutdown 16 8 h
shutdown 16 9 l
shutdown 16 9 h
shutdown 16 10 l
shutdown 16 10 h
shutdown 16 11 l
shutdown 16 11 h
shutdown 16 12 l
shutdown 16 12 h
shutdown 16 13 l
shutdown 16 13 h
shutdown 16 14 l
shutdown 16 14 h
shutdown 16 15 l
shutdown 16 15 h
