tunnel_num s t prio weight
324 0 1 l 100
326 0 1 h 100
822 0 2 l 35
827 0 2 l 64
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
174 0 4 l 100
174 0 4 h 100
684 0 5 l 100
686 0 5 h 100
1194 0 6 l 100
1196 0 6 h 100
42 0 7 l 100
42 0 7 h 100
702 0 8 l 100
703 0 8 h 100
1215 0 9 l 100
shutdown 0 9 h
64 0 10 l 100
60 0 10 h 100
576 0 11 l 100
577 0 11 h 100
1069 0 12 l 100
1069 0 12 h 55
1070 0 12 h 44
1561 0 13 l 100
1561 0 13 h 100
426 0 14 l 100
428 0 14 h 100
930 0 15 l 100
930 0 15 h 100
1317 0 16 l 100
shutdown 0 16 h
696 1 0 l 100
696 1 0 h 100
1362 1 2 l 100
1363 1 2 h 100
834 1 3 l 100
834 1 3 h 100
1062 1 4 l 100
1063 1 4 h 100
570 1 5 l 100
571 1 5 h 100
54 1 6 l 100
55 1 6 h 100
1206 1 7 l 100
1208 1 7 h 100
1578 1 8 l 100
1578 1 8 h 100
1091 1 9 l 100
shutdown 1 9 h
589 1 10 l 100
590 1 10 h 100
78 1 11 l 100
78 1 11 h 100
336 1 12 l 100
338 1 12 h 100
1464 1 13 l 100
1466 1 13 h 100
944 1 14 l 100
942 1 14 h 100
444 1 15 l 100
444 1 15 h 100
549 1 16 l 100
shutdown 1 16 h
1572 2 0 l 100
1572 2 0 h 100
438 2 1 l 100
439 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
1230 2 4 h 100
73 2 5 l 100
72 2 5 h 100
204 2 6 l 100
204 2 6 h 100
720 2 7 l 100
722 2 7 h 100
858 2 8 l 100
858 2 8 h 100
1384 2 9 l 100
shutdown 2 9 h
1488 2 10 l 100
1488 2 10 h 100
360 2 11 l 100
360 2 11 h 100
463 2 12 l 100
463 2 12 h 100
964 2 13 l 100
961 2 13 h 100
1107 2 14 l 100
1104 2 14 h 100
1602 2 15 l 100
1602 2 15 h 100
1455 2 16 l 100
shutdown 2 16 h
852 3 0 l 100
852 3 0 h 100
354 3 1 l 100
354 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1227 3 4 l 100
1225 3 4 h 100
714 3 5 l 100
714 3 5 h 100
582 3 6 l 100
582 3 6 h 100
68 3 7 l 100
66 3 7 h 100
1566 3 8 l 100
1567 3 8 h 100
1077 3 9 l 100
shutdown 3 9 h
936 3 10 l 100
936 3 10 h 100
432 3 11 l 100
434 3 11 h 100
331 3 12 l 100
331 3 12 h 100
1459 3 13 l 100
1460 3 13 h 100
1356 3 14 l 100
1356 3 14 h 100
828 3 15 l 100
828 3 15 h 100
982 3 16 l 100
shutdown 3 16 h
97 4 0 l 100
96 4 0 h 100
601 4 1 l 100
601 4 1 h 100
1098 4 2 l 100
1098 4 2 h 100
1590 4 3 l 100
1591 4 3 h 100
228 4 5 l 100
228 4 5 h 100
744 4 6 l 100
744 4 6 h 100
1255 4 7 l 100
1256 4 7 h 100
846 4 8 l 100
847 4 8 h 100
1378 4 9 l 100
shutdown 4 9 h
192 4 10 l 100
192 4 10 h 100
713 4 11 l 100
709 4 11 h 100
456 4 12 l 39
460 4 12 l 60
456 4 12 h 100
954 4 13 l 100
954 4 13 h 100
1484 4 14 l 100
1484 4 14 h 100
348 4 15 l 100
348 4 15 h 100
257 4 16 l 100
shutdown 4 16 h
972 5 0 l 100
972 5 0 h 100
486 5 1 l 100
487 5 1 h 100
1614 5 2 l 100
1615 5 2 h 100
1124 5 3 l 100
1122 5 3 h 100
624 5 4 l 100
625 5 4 h 100
1278 5 6 l 100
1279 5 6 h 100
768 5 7 l 100
768 5 7 h 100
90 5 8 l 100
90 5 8 h 100
1253 5 9 l 100
shutdown 5 9 h
738 5 10 l 100
740 5 10 h 100
222 5 11 l 100
222 5 11 h 100
1402 5 12 l 100
1400 5 12 h 100
880 5 13 l 100
876 5 13 h 100
367 5 14 l 100
368 5 14 h 100
1500 5 15 l 100
1500 5 15 h 100
1156 5 16 l 100
shutdown 5 16 h
246 6 0 l 100
246 6 0 h 100
762 6 1 l 100
763 6 1 h 100
888 6 2 l 100
889 6 2 h 100
1410 6 3 l 100
1410 6 3 h 100
618 6 4 l 100
619 6 4 h 100
1116 6 5 l 100
1117 6 5 h 100
120 6 7 l 100
120 6 7 h 100
1146 6 8 l 100
1146 6 8 h 100
11 6 9 l 100
shutdown 6 9 h
145 6 10 l 100
146 6 10 h 100
652 6 11 l 100
648 6 11 h 100
1512 6 12 l 100
1514 6 12 h 100
378 6 13 l 100
380 6 13 h 100
504 6 14 l 100
504 6 14 h 100
996 6 15 l 100
996 6 15 h 100
400 6 16 l 100
shutdown 6 16 h
1140 7 0 l 100
1140 7 0 h 100
642 7 1 l 100
642 7 1 h 100
500 7 2 l 100
498 7 2 h 100
2 7 3 l 100
2 7 3 h 100
786 7 4 l 100
786 7 4 h 100
270 7 5 l 100
270 7 5 h 100
138 7 6 l 100
138 7 6 h 100
390 7 8 l 100
391 7 8 h 100
1527 7 9 l 100
shutdown 7 9 h
1429 7 10 l 100
1430 7 10 h 100
900 7 11 l 100
901 7 11 h 100
24 7 12 l 100
25 7 12 h 100
1180 7 13 l 100
1176 7 13 h 100
1030 7 14 l 100
1026 7 14 h 100
522 7 15 l 100
522 7 15 h 100
1325 7 16 l 100
shutdown 7 16 h
870 8 0 l 100
871 8 0 h 100
1393 8 1 l 100
1392 8 1 h 100
throttle 8 2 l 0.500000
216 8 2 l 100
216 8 2 h 100
732 8 3 l 100
733 8 3 h 100
1242 8 4 l 100
1243 8 4 h 100
86 8 5 l 100
85 8 5 h 100
594 8 6 l 100
594 8 6 h 100
throttle 8 7 l 0.500000
1092 8 7 l 100
1092 8 7 h 100
453 8 9 l 100
452 8 9 h 100
948 8 10 l 100
948 8 10 h 100
1470 8 11 l 100
1470 8 11 h 100
342 8 12 l 100
342 8 12 h 100
842 8 13 l 100
842 8 13 h 100
1373 8 14 l 100
1370 8 14 h 100
186 8 15 l 100
186 8 15 h 100
992 8 16 l 100
992 8 16 h 100
111 9 0 l 100
shutdown 9 0 h
1271 9 1 l 100
shutdown 9 1 h
throttle 9 2 l 0.400000
755 9 2 l 100
shutdown 9 2 h
throttle 9 3 l 0.500000
243 9 3 l 100
shutdown 9 3 h
throttle 9 4 l 0.400000
473 9 4 l 100
shutdown 9 4 h
throttle 9 5 l 0.500000
1611 9 5 l 100
shutdown 9 5 h
throttle 9 6 l 0.500000
1113 9 6 l 100
shutdown 9 6 h
throttle 9 7 l 0.500000
615 9 7 l 100
shutdown 9 7 h
867 9 8 l 100
866 9 8 h 100
1494 9 10 l 100
1494 9 10 h 100
967 9 11 l 100
967 9 11 h 100
1237 9 12 l 100
1237 9 12 h 100
729 9 13 l 100
726 9 13 h 100
throttle 9 14 l 0.400000
212 9 14 l 100
212 9 14 h 100
1389 9 15 l 100
shutdown 9 15 h
264 9 16 l 100
264 9 16 h 100
984 10 0 l 100
984 10 0 h 100
1508 10 1 l 100
1508 10 1 h 100
throttle 10 2 l 0.500000
1626 10 2 l 100
1626 10 2 h 100
495 10 3 l 100
492 10 3 h 100
