tunnel_num s t weight
1021 0 1 33
1022 0 1 33
1023 0 1 33
501 0 2 100
1203 0 3 33
1204 0 3 33
1205 0 3 33
680 0 4 33
681 0 4 33
682 0 4 33
153 0 5 50
154 0 5 50
888 0 6 33
886 0 6 33
887 0 6 33
355 0 7 33
356 0 7 33
357 0 7 33
770 0 8 50
771 0 8 50
246 0 9 50
247 0 9 50
960 0 10 50
959 0 10 50
444 0 11 50
445 0 11 50
1144 0 12 50
1145 0 12 50
626 0 13 50
628 0 13 50
90 0 14 50
91 0 14 50
838 0 15 50
839 0 15 50
572 0 16 50
573 0 16 50
27 0 17 50
28 0 17 50
752 0 18 50
753 0 18 50
228 0 19 50
229 0 19 50
944 0 20 50
943 0 20 50
156 1 0 33
157 1 0 33
158 1 0 33
1210 1 2 100
506 1 3 33
507 1 3 33
508 1 3 33
539 1 4 33
540 1 4 33
541 1 4 33
1060 1 5 50
1061 1 5 50
360 1 6 33
358 1 6 33
359 1 6 33
889 1 7 33
890 1 7 33
891 1 7 33
632 1 8 50
633 1 8 50
1150 1 9 50
1151 1 9 50
450 1 10 50
451 1 10 50
965 1 11 50
966 1 11 50
1028 1 12 100
304 1 13 50
306 1 13 50
844 1 14 50
845 1 14 50
96 1 15 33
97 1 15 33
98 1 15 33
434 1 16 50
435 1 16 50
949 1 17 50
950 1 17 50
236 1 18 50
237 1 18 50
762 1 19 50
763 1 19 50
826 1 20 50
827 1 20 50
1252 2 0 100
720 2 1 100
543 2 3 100
893 2 4 100
362 2 5 100
687 2 6 100
163 2 7 100
513 2 8 100
1216 2 9 100
310 2 10 100
1033 2 11 100
102 2 12 100
851 2 13 100
shutdown 2 14
shutdown 2 15
299 2 16 100
1019 2 17 100
88 2 18 100
836 2 19 100
shutdown 2 20
1089 3 0 33
1090 3 0 33
1091 3 0 33
395 3 1 33
396 3 1 33
397 3 1 33
43 3 2 100
248 3 4 33
249 3 4 33
250 3 4 33
773 3 5 50
775 3 5 50
448 3 6 33
446 3 6 33
447 3 6 33
961 3 7 33
962 3 7 33
963 3 7 33
629 3 8 100
1146 3 9 100
841 3 10 100
94 3 11 100
1025 3 12 100
301 3 13 100
1206 3 14 50
1207 3 14 50
504 3 15 50
503 3 15 50
856 3 16 50
857 3 16 50
108 3 17 33
109 3 17 33
110 3 17 33
1040 3 18 33
1041 3 18 33
1039 3 18 33
316 3 19 50
318 3 19 50
1221 3 20 50
1222 3 20 50
968 4 0 33
969 4 0 33
967 4 0 33
452 4 1 33
453 4 1 33
454 4 1 33
1153 4 2 100
635 4 3 33
636 4 3 33
637 4 3 33
45 4 5 100
776 4 6 50
777 4 6 50
251 4 7 50
252 4 7 50
509 4 8 33
510 4 8 33
511 4 8 33
1212 4 9 50
1214 4 9 50
683 4 10 50
685 4 10 50
160 4 11 100
100 4 12 100
849 4 13 50
847 4 13 50
307 4 14 33
308 4 14 33
309 4 14 33
1032 4 15 33
1030 4 15 33
1031 4 15 33
697 4 16 50
695 4 16 50
171 4 17 50
173 4 17 50
898 4 18 50
900 4 18 50
370 4 19 100
322 4 20 50
324 4 20 50
853 5 0 50
855 5 0 50
105 5 1 50
107 5 1 50
642 5 2 100
1160 5 3 50
1158 5 3 50
455 5 4 100
253 5 6 50
255 5 6 50
778 5 7 100
364 5 8 100
895 5 9 100
165 5 10 100
689 5 11 100
1218 5 12 100
515 5 13 100
1037 5 14 50
1038 5 14 50
313 5 15 50
315 5 15 50
552 5 16 33
553 5 16 33
551 5 16 33
1068 5 17 50
1069 5 17 50
374 5 18 50
375 5 18 50
901 5 19 50
902 5 19 50
177 5 20 50
178 5 20 50
692 6 0 33
693 6 0 33
694 6 0 33
168 6 1 33
169 6 1 33
170 6 1 33
519 6 2 100
1224 6 3 33
1225 6 3 33
1226 6 3 33
1064 6 4 50
1063 6 4 50
545 6 5 50
547 6 5 50
368 6 7 50
367 6 7 50
1164 6 8 50
1165 6 8 50
649 6 9 50
647 6 9 50
973 6 10 50
975 6 10 50
462 6 11 100
320 6 12 100
1042 6 13 50
1044 6 13 50
114 6 14 50
115 6 14 50
859 6 15 50
860 6 15 50
401 6 16 50
403 6 16 50
1097 6 17 50
1095 6 17 50
200 6 18 50
202 6 18 50
923 6 19 50
924 6 19 50
784 6 20 50
786 6 20 50
548 7 0 33
549 7 0 33
550 7 0 33
1065 7 1 33
1066 7 1 33
1067 7 1 33
723 7 2 100
0 7 3 33
1 7 3 33
2 7 3 33
174 7 4 50
175 7 4 50
698 7 5 100
372 7 6 50
373 7 6 50
1045 7 8 33
1046 7 8 33
1047 7 8 33
331 7 9 50
333 7 9 50
1227 7 10 50
1229 7 10 50
522 7 11 100
654 7 12 100
1173 7 13 50
1175 7 13 50
865 7 14 33
866 7 14 33
867 7 14 33
123 7 15 33
124 7 15 33
125 7 15 33
265 7 16 50
267 7 16 50
793 7 17 50
795 7 17 50
472 7 18 50
470 7 18 50
983 7 19 100
1104 7 20 50
1106 7 20 50
185 8 0 50
186 8 0 50
910 8 1 50
911 8 1 50
387 8 2 100
1077 8 3 100
563 8 4 33
564 8 4 33
565 8 4 33
18 8 5 100
740 8 6 50
741 8 6 50
216 8 7 33
217 8 7 33
215 8 7 33
416 8 9 100
1113 8 10 100
600 8 11 100
64 8 12 100
802 8 13 100
274 8 14 50
276 8 14 50
993 8 15 50
991 8 15 50
1122 8 16 50
1123 8 16 50
608 8 17 33
609 8 17 33
610 8 17 33
69 8 18 33
70 8 18 33
71 8 18 33
811 8 19 100
284 8 20 100
22 9 0 50
23 9 0 50
568 9 1 50
567 9 1 50
1080 9 2 100
389 9 3 100
419 9 4 50
421 9 4 50
937 9 5 100
218 9 6 50
220 9 6 50
745 9 7 50
743 9 7 50
805 9 8 100
602 9 10 100
1116 9 11 100
1182 9 12 100
479 9 13 100
996 9 14 100
279 9 15 100
1003 9 16 50
1005 9 16 50
289 9 17 50
291 9 17 50
817 9 18 50
819 9 18 50
75 9 19 100
137 9 20 100
1120 10 0 50
1121 10 0 50
606 10 1 50
607 10 1 50
940 10 2 100
422 10 3 100
746 10 4 100
221 10 5 100
569 10 6 50
571 10 6 50
24 10 7 100
659 10 8 100
129 10 9 100
1185 10 11 100
280 10 12 100
997 10 13 100
68 10 14 100
810 10 15 100
880 10 16 50
882 10 16 50
346 10 17 100
673 10 18 50
671 10 18 50
144 10 19 100
493 10 20 100
1001 11 0 50
1002 11 0 50
288 11 1 50
287 11 1 50
1188 11 2 100
483 11 3 100
133 11 4 100
662 11 5 100
338 11 6 100
872 11 7 100
224 11 8 100
749 11 9 100
425 11 10 100
611 11 12 100
1125 11 13 100
816 11 14 100
74 11 15 100
716 11 16 100
1248 11 17 100
916 11 18 100
191 11 19 100
shutdown 11 20
878 12 0 50
879 12 0 50
344 12 1 100
1054 12 2 100
534 12 3 100
489 12 4 100
1194 12 5 100
669 12 6 100
142 12 7 100
82 12 8 100
823 12 9 100
292 12 10 100
1009 12 11 100
432 12 13 100
shutdown 12 14
619 12 15 100
579 12 16 100
34 12 17 100
759 12 18 100
234 12 19 100
shutdown 12 20
713 13 0 50
715 13 0 50
1245 13 1 50
1247 13 1 50
537 13 2 100
1057 13 3 100
352 13 4 50
354 13 4 50
883 13 5 100
152 13 6 50
150 13 6 50
677 13 7 50
679 13 7 50
1200 13 8 100
497 13 9 100
1015 13 10 100
295 13 11 100
833 13 12 100
625 13 14 100
1139 13 15 100
440 13 16 50
442 13 16 50
955 13 17 50
957 13 17 50
242 13 18 50
244 13 18 50
767 13 19 100
41 13 20 100
576 14 0 50
575 14 0 50
30 14 1 50
31 14 1 50
shutdown 14 2
1088 14 3 50
1086 14 3 50
946 14 4 33
947 14 4 33
948 14 4 33
429 14 5 50
430 14 5 50
755 14 6 50
756 14 6 50
232 14 7 33
230 14 7 33
231 14 7 33
80 14 8 50
78 14 8 50
822 14 9 100
1130 14 10 100
616 14 11 100
shutdown 14 12
1193 14 13 100
1008 14 15 50
1006 14 15 50
874 14 16 50
875 14 16 50
340 14 17 50
341 14 17 50
666 14 18 50
667 14 18 50
139 14 19 50
140 14 19 50
1241 14 20 50
1239 14 20 50
437 15 0 50
438 15 0 50
952 15 1 33
953 15 1 33
954 15 1 33
shutdown 15 2
1136 15 3 50
1134 15 3 50
36 15 4 33
37 15 4 33
38 15 4 33
581 15 5 50
583 15 5 50
240 15 6 50
239 15 6 50
764 15 7 33
765 15 7 33
766 15 7 33
1197 15 8 50
1199 15 8 50
496 15 9 100
149 15 10 100
676 15 11 100
831 15 12 100
86 15 13 100
1012 15 14 50
1014 15 14 50
710 15 16 50
711 15 16 50
1242 15 17 50
1243 15 17 50
914 15 18 50
915 15 18 50
189 15 19 50
190 15 19 50
349 15 20 50
351 15 20 50
48 16 0 33
49 16 0 33
50 16 0 33
781 16 1 50
782 16 1 50
257 16 2 100
970 16 3 50
971 16 3 50
458 16 4 50
460 16 4 50
1161 16 5 33
1162 16 5 33
1163 16 5 33
644 16 6 50
646 16 6 50
113 16 7 50
111 16 7 50
554 16 8 50
555 16 8 50
3 16 9 50
5 16 9 50
725 16 10 50
727 16 10 50
197 16 11 100
920 16 12 100
400 16 13 50
398 16 13 50
1092 16 14 50
1093 16 14 50
584 16 15 33
585 16 15 33
586 16 15 33
530 16 17 50
531 16 17 50
1233 16 18 50
1235 16 18 50
704 16 19 50
705 16 19 50
179 16 20 50
181 16 20 50
1170 17 0 50
1171 17 0 50
467 17 1 50
468 17 1 50
980 17 2 100
262 17 3 50
263 17 3 50
328 17 4 50
330 17 4 50
862 17 5 50
863 17 5 50
120 17 6 100
650 17 7 50
652 17 7 50
408 17 8 33
409 17 8 33
407 17 8 33
928 17 9 50
930 17 9 50
206 17 10 100
731 17 11 100
