tunnel_num s t prio weight
25 7 12 l 100
25 7 12 h 100
throttle 7 13 l 0.500000
1177 7 13 l 100
1177 7 13 h 100
throttle 7 14 l 0.500000
1027 7 14 l 100
1027 7 14 h 100
throttle 7 15 l 0.400000
522 7 15 l 100
523 7 15 h 100
throttle 7 16 l 0.400000
1320 7 16 l 100
1321 7 16 h 100
throttle 8 0 l 0.300000
871 8 0 l 100
872 8 0 h 100
1393 8 1 l 100
1393 8 1 h 100
216 8 2 l 100
216 8 2 h 100
732 8 3 l 100
734 8 3 h 100
1246 8 4 l 100
1244 8 4 h 100
84 8 5 l 100
84 8 5 h 100
594 8 6 l 100
595 8 6 h 100
throttle 8 7 l 0.300000
1092 8 7 l 100
1092 8 7 h 100
450 8 9 l 100
450 8 9 h 100
948 8 10 l 100
948 8 10 h 100
1470 8 11 l 100
1472 8 11 h 100
345 8 12 l 100
344 8 12 h 100
845 8 13 l 100
841 8 13 h 100
1369 8 14 l 100
1368 8 14 h 100
186 8 15 l 100
187 8 15 h 100
990 8 16 l 100
991 8 16 h 100
throttle 9 0 l 0.300000
109 9 0 l 100
109 9 0 h 100
1266 9 1 l 100
1266 9 1 h 100
750 9 2 l 100
750 9 2 h 100
240 9 3 l 100
241 9 3 h 100
470 9 4 l 100
468 9 4 h 100
1610 9 5 l 100
1608 9 5 h 100
1111 9 6 l 100
1111 9 6 h 100
throttle 9 7 l 0.300000
617 9 7 l 100
612 9 7 h 100
864 9 8 l 100
864 9 8 h 100
1494 9 10 l 100
1495 9 10 h 100
966 9 11 l 100
967 9 11 h 100
1236 9 12 l 78
1241 9 12 l 21
1237 9 12 h 100
726 9 13 l 100
726 9 13 h 100
210 9 14 l 100
211 9 14 h 100
1386 9 15 l 100
1386 9 15 h 100
264 9 16 l 100
264 9 16 h 100
throttle 10 0 l 0.300000
988 10 0 l 100
986 10 0 h 100
1511 10 1 l 100
1506 10 1 h 100
1627 10 2 l 100
1627 10 2 h 100
493 10 3 l 100
493 10 3 h 100
636 10 4 l 100
636 10 4 h 100
1134 10 5 l 100
1135 10 5 h 100
1290 10 6 l 100
1292 10 6 h 100
throttle 10 7 l 0.300000
132 10 7 l 100
133 10 7 h 100
102 10 8 l 100
102 10 8 h 100
606 10 9 l 100
607 10 9 h 100
1260 10 11 l 100
1260 10 11 h 100
1404 10 12 l 100
1405 10 12 h 100
234 10 13 l 100
235 10 13 h 100
374 10 14 l 32
376 10 14 l 67
374 10 14 h 100
883 10 15 l 100
884 10 15 h 100
1170 10 16 l 100
1172 10 16 h 100
throttle 11 0 l 0.300000
261 11 0 l 100
259 11 0 h 100
1416 11 1 l 100
1417 11 1 h 100
1284 11 2 l 100
1284 11 2 h 100
774 11 3 l 100
774 11 3 h 100
630 11 4 l 100
632 11 4 h 100
126 11 5 l 100
126 11 5 h 100
1620 11 6 l 100
1621 11 6 h 100
throttle 11 7 l 0.300000
1128 11 7 l 100
1128 11 7 h 100
1164 11 8 l 100
1166 11 8 h 100
660 11 9 l 100
660 11 9 h 100
516 11 10 l 100
516 11 10 h 100
1518 11 12 l 100
1519 11 12 h 100
1014 11 13 l 100
1015 11 13 h 100
895 11 14 l 100
895 11 14 h 100
385 11 15 l 100
386 11 15 h 100
419 11 16 l 100
414 11 16 h 100
throttle 12 0 l 0.300000
1161 12 0 l 100
shutdown 12 0 h
15 12 1 l 100
13 12 1 h 100
513 12 2 l 100
510 12 2 h 100
1008 12 3 l 100
1008 12 3 h 29
1009 12 3 h 70
798 12 4 l 100
800 12 4 h 100
1309 12 5 l 100
1309 12 5 h 100
151 12 6 l 42
153 12 6 l 57
151 12 6 h 100
throttle 12 7 l 0.400000
659 12 7 l 100
655 12 7 h 100
408 12 8 l 100
410 12 8 h 100
914 12 9 l 100
912 12 9 h 100
1434 12 10 l 100
1435 12 10 h 100
282 12 11 l 100
283 12 11 h 100
540 12 13 l 100
541 12 13 h 100
1049 12 14 l 100
1045 12 14 h 72
1046 12 14 h 27
1544 12 15 l 100
1544 12 15 h 100
1339 12 16 l 100
1339 12 16 h 100
throttle 13 0 l 0.300000
404 13 0 l 100
404 13 0 h 100
1537 13 1 l 100
1537 13 1 h 100
1042 13 2 l 100
1038 13 2 h 100
534 13 3 l 100
534 13 3 h 100
37 13 4 l 100
37 13 4 h 100
1193 13 5 l 100
1189 13 5 h 100
679 13 6 l 100
679 13 6 h 100
throttle 13 7 l 0.300000
171 13 7 l 100
169 13 7 h 100
1335 13 8 l 100
1334 13 8 h 100
819 13 9 l 100
816 13 9 h 100
316 13 10 l 100
313 13 10 h 100
1440 13 11 l 100
1441 13 11 h 100
924 13 12 l 100
925 13 12 h 100
1557 13 14 l 100
1555 13 14 h 100
1058 13 15 l 100
1058 13 15 h 100
564 13 16 l 100
564 13 16 h 100
throttle 14 0 l 0.300000
1326 14 0 l 100
1328 14 0 h 100
162 14 1 l 100
162 14 1 h 100
310 14 2 l 100
306 14 2 h 100
810 14 3 l 100
810 14 3 h 100
32 14 4 l 100
31 14 4 h 100
529 14 5 l 100
528 14 5 h 100
673 14 6 l 100
674 14 6 h 100
