tunnel_num s t edges
147 16 5 16-1,1-5
148 16 5 16-13,13-14,14-5
149 16 5 16-9,9-2,2-4,4-5
150 15 14 15-14
151 15 14 15-6,6-4,4-5,5-14
152 15 14 15-6,6-1,1-5,5-14
153 14 2 14-5,5-4,4-2
154 14 2 14-13,13-16,16-9,9-2
155 14 2 14-15,15-6,6-7,7-0,0-3,3-2
156 13 10 13-16,16-10
157 13 10 13-12,12-11,11-10
158 13 10 13-14,14-5,5-1,1-16,16-10
159 14 16 14-13,13-16
160 14 16 14-5,5-1,1-16
161 14 16 14-15,15-6,6-4,4-2,2-9,9-16
162 0 1 0-7,7-6,6-1
163 0 1 0-3,3-2,2-9,9-16,16-1
164 0 1 0-7,7-6,6-4,4-5,5-1
165 3 12 3-2,2-4,4-8,8-11,11-12
166 3 12 3-0,0-7,7-6,6-15,15-14,14-13,13-12
167 3 12 3-2,2-9,9-16,16-13,13-12
168 1 12 1-16,16-13,13-12
169 1 12 1-6,6-4,4-8,8-11,11-12
170 1 12 1-5,5-14,14-13,13-12
171 8 12 8-11,11-12
172 8 12 8-4,4-5,5-14,14-13,13-12
173 8 12 8-11,11-10,10-16,16-13,13-12
174 4 15 4-6,6-15
175 4 15 4-5,5-14,14-15
176 4 15 4-5,5-1,1-6,6-15
177 3 1 3-0,0-7,7-6,6-1
178 3 1 3-2,2-9,9-16,16-1
179 3 1 3-2,2-4,4-5,5-1
180 2 11 2-4,4-8,8-11
181 2 11 2-9,9-16,16-10,10-11
182 2 11 2-3,3-0,0-7,7-6,6-15,15-14,14-13,13-12,12-11
183 5 14 5-14
184 5 14 5-1,1-16,16-13,13-14
185 5 14 5-4,4-6,6-15,15-14
186 10 14 10-16,16-1,1-5,5-14
187 10 14 10-11,11-12,12-13,13-14
188 10 14 10-16,16-13,13-14
189 6 13 6-1,1-16,16-13
190 6 13 6-15,15-14,14-13
191 6 13 6-4,4-8,8-11,11-12,12-13
192 11 15 11-8,8-4,4-6,6-15
193 11 15 11-12,12-13,13-14,14-15
194 11 15 11-8,8-4,4-5,5-14,14-15
195 7 8 7-6,6-4,4-8
196 7 8 7-0,0-3,3-2,2-9,9-16,16-10,10-11,11-8
197 7 8 7-0,0-3,3-2,2-4,4-8
198 6 16 6-1,1-16
199 6 16 6-4,4-2,2-9,9-16
200 6 16 6-15,15-14,14-13,13-16
201 13 0 13-16,16-9,9-2,2-3,3-0
202 13 0 13-14,14-15,15-6,6-7,7-0
203 13 0 13-16,16-1,1-6,6-7,7-0
204 12 8 12-11,11-8
205 12 8 12-13,13-14,14-5,5-4,4-8
206 12 8 12-13,13-16,16-10,10-11,11-8
207 11 16 11-10,10-16
208 11 16 11-12,12-13,13-16
209 11 16 11-8,8-4,4-6,6-1,1-16
210 15 13 15-14,14-13
211 15 13 15-6,6-1,1-16,16-13
212 15 13 15-14,14-5,5-1,1-16,16-13
213 0 14 0-7,7-6,6-15,15-14
214 0 14 0-3,3-2,2-4,4-5,5-14
215 0 14 0-7,7-6,6-1,1-5,5-14
216 3 11 3-2,2-4,4-8,8-11
217 3 11 3-0,0-7,7-6,6-1,1-16,16-10,10-11
218 3 11 3-2,2-9,9-16,16-10,10-11
219 2 1 2-9,9-16,16-1
220 2 1 2-4,4-5,5-1
221 2 1 2-3,3-0,0-7,7-6,6-1
222 1 15 1-6,6-15
223 1 15 1-5,5-14,14-15
224 1 15 1-16,16-13,13-14,14-15
225 8 9 8-4,4-2,2-9
226 8 9 8-11,11-10,10-16,16-9
227 8 9 8-4,4-5,5-1,1-16,16-9
228 4 12 4-8,8-11,11-12
229 4 12 4-5,5-14,14-13,13-12
230 4 12 4-6,6-1,1-16,16-13,13-12
231 2 12 2-9,9-16,16-13,13-12
232 2 12 2-4,4-8,8-11,11-12
233 2 12 2-9,9-16,16-10,10-11,11-12
234 9 4 9-2,2-4
235 9 4 9-16,16-1,1-6,6-4
236 9 4 9-16,16-1,1-5,5-4
237 16 14 16-13,13-14
238 16 14 16-1,1-5,5-14
239 16 14 16-9,9-2,2-4,4-6,6-15,15-14
240 16 13 16-13
241 16 13 16-1,1-5,5-14,14-13
242 16 13 16-10,10-11,11-12,12-13
243 5 1 5-1
244 5 1 5-4,4-6,6-1
245 5 1 5-14,14-13,13-16,16-1
246 10 3 10-16,16-9,9-2,2-3
247 10 3 10-11,11-8,8-4,4-6,6-7,7-0,0-3
248 10 3 10-11,11-8,8-4,4-2,2-3
249 7 2 7-0,0-3,3-2
250 7 2 7-6,6-4,4-2
251 7 2 7-6,6-1,1-16,16-9,9-2
252 6 14 6-15,15-14
253 6 14 6-4,4-5,5-14
254 6 14 6-1,1-16,16-13,13-14
255 12 2 12-11,11-8,8-4,4-2
256 12 2 12-13,13-16,16-9,9-2
257 12 2 12-13,13-14,14-5,5-4,4-2
258 11 10 11-10
259 11 10 11-12,12-13,13-16,16-10
260 11 10 11-8,8-4,4-2,2-9,9-16,16-10
261 7 15 7-6,6-15
262 7 15 7-0,0-3,3-2,2-4,4-5,5-14,14-15
263 7 15 7-6,6-1,1-5,5-14,14-15
264 14 5 14-5
265 14 5 14-15,15-6,6-4,4-5
266 14 5 14-13,13-16,16-1,1-5
267 13 3 13-16,16-9,9-2,2-3
268 13 3 13-14,14-15,15-6,6-7,7-0,0-3
269 13 3 13-14,14-5,5-4,4-2,2-3
270 12 13 12-13
271 12 13 12-11,11-10,10-16,16-13
272 12 13 12-11,11-8,8-4,4-5,5-14,14-13
273 1 16 1-16
274 1 16 1-5,5-14,14-13,13-16
275 1 16 1-6,6-4,4-2,2-9,9-16
276 16 4 16-9,9-2,2-4
277 16 4 16-1,1-6,6-4
278 16 4 16-13,13-14,14-5,5-4
279 15 0 15-6,6-7,7-0
280 15 0 15-14,14-5,5-4,4-2,2-3,3-0
281 15 0 15-6,6-4,4-2,2-3,3-0
282 13 16 13-16
283 13 16 13-12,12-11,11-10,10-16
284 13 16 13-14,14-5,5-1,1-16
285 1 5 1-5
286 1 5 1-6,6-4,4-5
287 1 5 1-16,16-13,13-14,14-5
288 0 11 0-7,7-6,6-4,4-8,8-11
289 0 11 0-3,3-2,2-9,9-16,16-10,10-11
290 0 11 0-3,3-2,2-4,4-8,8-11
291 3 6 3-0,0-7,7-6
292 3 6 3-2,2-4,4-6
293 3 6 3-2,2-9,9-16,16-1,1-6
294 1 10 1-16,16-10
295 1 10 1-6,6-4,4-8,8-11,11-10
296 1 10 1-5,5-4,4-8,8-11,11-10
297 8 6 8-4,4-6
298 8 6 8-11,11-10,10-16,16-1,1-6
299 8 6 8-4,4-5,5-1,1-6
300 4 1 4-5,5-1
301 4 1 4-6,6-1
302 4 1 4-2,2-9,9-16,16-1
303 10 9 10-16,16-9
304 10 9 10-11,11-8,8-4,4-2,2-9
305 10 9 10-11,11-12,12-13,13-16,16-9
306 9 7 9-16,16-1,1-6,6-7
307 9 7 9-2,2-3,3-0,0-7
308 9 7 9-2,2-4,4-6,6-7
309 6 4 6-4
310 6 4 6-1,1-5,5-4
311 6 4 6-7,7-0,0-3,3-2,2-4
312 5 4 5-4
313 5 4 5-1,1-6,6-4
314 5 4 5-14,14-13,13-16,16-9,9-2,2-4
315 11 4 11-8,8-4
316 11 4 11-10,10-16,16-1,1-6,6-4
317 11 4 11-12,12-13,13-14,14-5,5-4
318 10 4 10-11,11-8,8-4
319 10 4 10-16,16-1,1-6,6-4
320 10 4 10-16,16-1,1-5,5-4
321 7 1 7-6,6-1
322 7 1 7-0,0-3,3-2,2-9,9-16,16-1
323 7 1 7-6,6-4,4-5,5-1
324 6 11 6-4,4-8,8-11
325 6 11 6-1,1-16,16-10,10-11
326 6 11 6-15,15-14,14-13,13-12,12-11
327 12 7 12-13,13-16,16-1,1-6,6-7
328 12 7 12-11,11-8,8-4,4-2,2-3,3-0,0-7
329 12 7 12-11,11-8,8-4,4-6,6-7
330 11 9 11-10,10-16,16-9
331 11 9 11-8,8-4,4-2,2-9
332 11 9 11-12,12-13,13-16,16-9
333 15 10 15-6,6-1,1-16,16-10
334 15 10 15-14,14-13,13-12,12-11,11-10
