s t demand
h_0 h_1 351
h_0 h_2 623
h_0 h_3 791
h_0 h_4 706
h_0 h_5 296
h_0 h_6 464
h_0 h_8 140
h_0 h_9 603
h_0 h_10 398
h_0 h_11 402
h_0 h_12 989
h_0 h_13 544
h_0 h_14 1164
h_0 h_15 22
h_0 h_16 325
h_7 h_0 56
h_7 h_1 81
h_7 h_2 144
h_7 h_3 183
h_7 h_4 163
h_7 h_5 68
h_7 h_6 107
h_7 h_8 32
h_7 h_9 139
h_7 h_10 92
h_7 h_11 93
h_7 h_12 228
h_7 h_13 125
h_7 h_14 269
h_7 h_15 5
h_7 h_16 75
