tunnel_num s t weight -('11', '8'), ('8', '11')
162 0 1 33
163 0 1 33
164 0 1 33
411 0 2 58
413 0 2 41
673 0 3 18
674 0 3 81
88 0 4 50
87 0 4 50
342 0 5 50
343 0 5 50
598 0 6 61
599 0 6 38
21 0 7 41
22 0 7 19
23 0 7 39
353 0 8 50
351 0 8 50
608 0 9 100
32 0 10 50
30 0 10 50
289 0 11 100
536 0 12 93
534 0 12 6
780 0 13 100
214 0 14 100
465 0 15 33
466 0 15 33
467 0 15 33
657 0 16 50
658 0 16 50
348 1 0 33
349 1 0 33
350 1 0 33
681 1 2 33
682 1 2 33
683 1 2 33
417 1 3 33
418 1 3 33
419 1 3 33
531 1 4 100
285 1 5 100
27 1 6 33
28 1 6 33
29 1 6 33
603 1 7 33
604 1 7 33
605 1 7 33
791 1 8 100
545 1 9 50
543 1 9 50
294 1 10 100
41 1 11 100
170 1 12 100
733 1 13 100
471 1 14 100
223 1 15 100
274 1 16 100
786 2 0 33
787 2 0 33
788 2 0 33
220 2 1 50
221 2 1 50
540 2 3 64
542 2 3 35
616 2 4 50
615 2 4 50
36 2 5 33
37 2 5 33
38 2 5 33
104 2 6 33
102 2 6 33
103 2 6 33
361 2 7 100
429 2 8 50
431 2 8 50
690 2 9 50
692 2 9 50
744 2 10 50
746 2 10 50
181 2 11 50
182 2 11 50
233 2 12 100
480 2 13 50
482 2 13 50
552 2 14 50
553 2 14 50
801 2 15 33
802 2 15 33
803 2 15 33
728 2 16 33
726 2 16 33
727 2 16 33
426 3 0 100
177 3 1 33
178 3 1 33
179 3 1 33
99 3 2 33
100 3 2 33
101 3 2 33
612 3 4 33
613 3 4 33
614 3 4 33
357 3 5 33
358 3 5 33
359 3 5 33
291 3 6 33
292 3 6 33
293 3 6 33
33 3 7 33
34 3 7 33
35 3 7 33
785 3 8 50
783 3 8 50
537 3 9 33
538 3 9 33
539 3 9 33
468 3 10 100
217 3 11 50
218 3 11 50
166 3 12 50
167 3 12 50
729 3 13 33
730 3 13 33
731 3 13 33
680 3 14 100
416 3 15 33
414 3 15 33
415 3 15 33
489 3 16 33
490 3 16 33
491 3 16 33
48 4 0 50
50 4 0 50
301 4 1 100
549 4 2 50
550 4 2 50
795 4 3 100
115 4 5 100
372 4 6 50
374 4 6 50
628 4 7 100
423 4 8 100
688 4 9 54
689 4 9 45
97 4 10 100
355 4 11 50
356 4 11 50
229 4 12 50
230 4 12 50
477 4 13 50
479 4 13 50
741 4 14 50
742 4 14 50
176 4 15 33
174 4 15 33
175 4 15 33
127 4 16 100
488 5 0 33
486 5 0 33
487 5 0 33
243 5 1 100
808 5 2 33
809 5 2 33
807 5 2 33
561 5 3 100
312 5 4 100
641 5 6 100
386 5 7 100
45 5 8 100
624 5 9 33
625 5 9 33
626 5 9 33
371 5 10 100
113 5 11 100
699 5 12 100
438 5 13 100
183 5 14 100
750 5 15 100
577 5 16 100
123 6 0 33
124 6 0 33
125 6 0 33
381 6 1 33
382 6 1 33
383 6 1 33
444 6 2 33
445 6 2 33
446 6 2 33
705 6 3 33
706 6 3 33
707 6 3 33
309 6 4 100
560 6 5 100
60 6 7 33
61 6 7 33
62 6 7 33
573 6 8 100
3 6 9 50
4 6 9 50
74 6 10 100
326 6 11 100
757 6 12 100
190 6 13 100
252 6 14 100
498 6 15 100
200 6 16 100
570 7 0 100
321 7 1 33
322 7 1 33
323 7 1 33
249 7 2 33
250 7 2 33
251 7 2 33
0 7 3 50
1 7 3 50
393 7 4 100
136 7 5 33
137 7 5 33
135 7 5 33
69 7 6 50
70 7 6 50
195 7 8 50
197 7 8 50
762 7 9 33
763 7 9 33
764 7 9 33
714 7 10 100
451 7 11 50
452 7 11 50
13 7 12 50
14 7 12 50
588 7 13 50
589 7 13 50
513 7 14 50
514 7 14 50
261 7 15 50
262 7 15 50
660 7 16 33
661 7 16 33
662 7 16 33
435 8 0 50
437 8 0 50
696 8 1 50
698 8 1 50
108 8 2 50
110 8 2 50
368 8 3 50
366 8 3 50
621 8 4 100
42 8 5 50
44 8 5 50
297 8 6 50
299 8 6 50
546 8 7 100
225 8 9 50
227 8 9 50
475 8 10 50
476 8 10 50
736 8 11 50
737 8 11 50
172 8 12 100
421 8 13 100
684 8 14 50
686 8 14 50
93 8 15 50
95 8 15 50
496 8 16 50
497 8 16 50
56 9 0 33
54 9 0 33
55 9 0 33
633 9 1 33
634 9 1 33
635 9 1 33
377 9 2 50
