tunnel_num s t prio weight
325 0 1 l 100
326 0 1 h 100
throttle 0 2 l 0.871654
822 0 2 l 100
822 0 2 h 100
throttle 0 3 l 0.517936
1344 0 3 l 100
1344 0 3 h 100
179 0 4 l 100
174 0 4 h 100
685 0 5 l 100
685 0 5 h 100
throttle 0 6 l 0.089189
1195 0 6 l 100
1195 0 6 h 100
42 0 7 l 100
42 0 7 h 100
702 0 8 l 100
704 0 8 h 100
throttle 0 9 l 0.760965
1215 0 9 l 100
1212 0 9 h 100
throttle 0 10 l 0.768624
60 0 10 l 100
61 0 10 h 100
throttle 0 11 l 0.194814
576 0 11 l 100
578 0 11 h 100
1068 0 12 l 100
1068 0 12 h 100
1560 0 13 l 100
1560 0 13 h 100
throttle 0 14 l 0.878578
431 0 14 l 100
427 0 14 h 100
932 0 15 l 100
932 0 15 h 100
1314 0 16 l 100
1314 0 16 h 100
697 1 0 l 100
698 1 0 h 100
1362 1 2 l 100
1364 1 2 h 100
throttle 1 3 l 0.288899
834 1 3 l 100
835 1 3 h 100
1062 1 4 l 100
1063 1 4 h 100
570 1 5 l 100
570 1 5 h 100
54 1 6 l 100
54 1 6 h 100
1210 1 7 l 100
1208 1 7 h 100
1578 1 8 l 100
1578 1 8 h 100
1086 1 9 l 100
1086 1 9 h 100
588 1 10 l 100
589 1 10 h 100
78 1 11 l 100
78 1 11 h 100
336 1 12 l 100
338 1 12 h 100
1464 1 13 l 100
1464 1 13 h 100
942 1 14 l 100
944 1 14 h 100
444 1 15 l 100
444 1 15 h 100
546 1 16 l 100
546 1 16 h 100
1572 2 0 l 100
1572 2 0 h 100
438 2 1 l 100
440 2 1 h 100
throttle 2 3 l 0.508593
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
1232 2 4 h 100
72 2 5 l 100
74 2 5 h 100
204 2 6 l 100
206 2 6 h 100
722 2 7 l 100
722 2 7 h 100
858 2 8 l 100
859 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1488 2 10 l 100
1490 2 10 h 100
360 2 11 l 100
361 2 11 h 100
462 2 12 l 100
462 2 12 h 100
960 2 13 l 100
960 2 13 h 100
1108 2 14 l 100
1106 2 14 h 100
1602 2 15 l 100
1604 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
354 3 1 l 100
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1224 3 4 l 100
1226 3 4 h 100
714 3 5 l 100
715 3 5 h 100
582 3 6 l 100
582 3 6 h 100
68 3 7 l 100
68 3 7 h 100
1566 3 8 l 100
1568 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
936 3 10 l 100
937 3 10 h 100
432 3 11 l 100
433 3 11 h 100
331 3 12 l 100
330 3 12 h 100
1458 3 13 l 100
1458 3 13 h 100
1356 3 14 l 100
1357 3 14 h 100
828 3 15 l 100
829 3 15 h 100
978 3 16 l 100
978 3 16 h 100
throttle 4 0 l 0.756758
96 4 0 l 100
96 4 0 h 100
602 4 1 l 100
601 4 1 h 100
1098 4 2 l 100
1100 4 2 h 100
throttle 4 3 l 0.761018
1590 4 3 l 100
1592 4 3 h 100
228 4 5 l 100
228 4 5 h 100
744 4 6 l 100
745 4 6 h 100
throttle 4 7 l 0.930132
1259 4 7 l 100
1256 4 7 h 100
846 4 8 l 100
846 4 8 h 100
1375 4 9 l 100
1376 4 9 h 100
192 4 10 l 100
192 4 10 h 100
713 4 11 l 100
709 4 11 h 100
456 4 12 l 100
457 4 12 h 100
955 4 13 l 50
958 4 13 l 49
954 4 13 h 100
1484 4 14 l 100
1483 4 14 h 100
348 4 15 l 100
350 4 15 h 100
253 4 16 l 100
254 4 16 h 100
throttle 5 0 l 0.073288
973 5 0 l 100
974 5 0 h 100
486 5 1 l 100
487 5 1 h 100
1616 5 2 l 100
1616 5 2 h 100
throttle 5 3 l 0.720239
1122 5 3 l 100
1122 5 3 h 100
624 5 4 l 100
624 5 4 h 100
1278 5 6 l 100
1278 5 6 h 100
throttle 5 7 l 0.780615
772 5 7 l 100
770 5 7 h 100
90 5 8 l 100
90 5 8 h 100
1248 5 9 l 100
1249 5 9 h 100
738 5 10 l 100
738 5 10 h 100
222 5 11 l 100
222 5 11 h 100
1400 5 12 l 100
1398 5 12 h 100
876 5 13 l 100
876 5 13 h 100
366 5 14 l 100
367 5 14 h 100
1500 5 15 l 100
1502 5 15 h 100
1152 5 16 l 100
1154 5 16 h 100
247 6 0 l 100
248 6 0 h 100
762 6 1 l 100
763 6 1 h 100
888 6 2 l 100
890 6 2 h 100
1410 6 3 l 100
1411 6 3 h 100
618 6 4 l 100
618 6 4 h 100
1116 6 5 l 100
1116 6 5 h 100
121 6 7 l 100
121 6 7 h 100
1146 6 8 l 100
1146 6 8 h 100
6 6 9 l 100
6 6 9 h 100
144 6 10 l 100
144 6 10 h 100
648 6 11 l 100
648 6 11 h 100
1512 6 12 l 100
1514 6 12 h 100
378 6 13 l 100
378 6 13 h 100
504 6 14 l 100
504 6 14 h 100
996 6 15 l 100
998 6 15 h 100
396 6 16 l 100
396 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
646 7 1 l 100
644 7 1 h 100
throttle 7 2 l 0.366201
500 7 2 l 100
500 7 2 h 100
2 7 3 l 100
2 7 3 h 100
throttle 7 4 l 0.217433
791 7 4 l 100
788 7 4 h 100
274 7 5 l 100
272 7 5 h 100
139 7 6 l 100
140 7 6 h 100
394 7 8 l 100
392 7 8 h 100
throttle 7 9 l 0.102352
1526 7 9 l 100
1526 7 9 h 100
1430 7 10 l 100
1430 7 10 h 100
905 7 11 l 100
902 7 11 h 100
26 7 12 l 100
26 7 12 h 100
1181 7 13 l 100
1178 7 13 h 100
throttle 7 14 l 0.482084
1031 7 14 l 100
1028 7 14 h 100
526 7 15 l 100
524 7 15 h 100
1325 7 16 l 100
1322 7 16 h 100
873 8 0 l 100
870 8 0 h 100
1392 8 1 l 100
1392 8 1 h 100
218 8 2 l 100
217 8 2 h 100
732 8 3 l 100
734 8 3 h 100
1242 8 4 l 100
1243 8 4 h 100
84 8 5 l 100
86 8 5 h 100
594 8 6 l 100
594 8 6 h 100
throttle 8 7 l 0.801626
1097 8 7 l 100
1093 8 7 h 100
450 8 9 l 100
452 8 9 h 100
948 8 10 l 100
948 8 10 h 100
1470 8 11 l 100
1471 8 11 h 100
342 8 12 l 100
342 8 12 h 100
842 8 13 l 100
840 8 13 h 100
1373 8 14 l 100
1370 8 14 h 100
186 8 15 l 100
188 8 15 h 100
990 8 16 l 100
992 8 16 h 100
111 9 0 l 100
108 9 0 h 100
1266 9 1 l 100
1266 9 1 h 100
750 9 2 l 100
750 9 2 h 100
throttle 9 3 l 0.785662
240 9 3 l 100
240 9 3 h 100
468 9 4 l 100
470 9 4 h 100
1609 9 5 l 100
1609 9 5 h 100
1111 9 6 l 100
1110 9 6 h 100
throttle 9 7 l 0.403651
614 9 7 l 100
614 9 7 h 100
864 9 8 l 100
865 9 8 h 100
1494 9 10 l 100
1495 9 10 h 100
966 9 11 l 100
967 9 11 h 100
1236 9 12 l 100
1237 9 12 h 100
726 9 13 l 100
728 9 13 h 100
212 9 14 l 100
212 9 14 h 100
1386 9 15 l 100
1387 9 15 h 100
264 9 16 l 100
264 9 16 h 100
throttle 10 0 l 0.389973
984 10 0 l 100
985 10 0 h 100
1506 10 1 l 100
1507 10 1 h 100
1626 10 2 l 100
1628 10 2 h 100
throttle 10 3 l 0.521708
492 10 3 l 100
493 10 3 h 100
636 10 4 l 100
638 10 4 h 100
1135 10 5 l 100
1134 10 5 h 100
1290 10 6 l 100
1291 10 6 h 100
throttle 10 7 l 0.881943
134 10 7 l 100
134 10 7 h 100
102 10 8 l 100
104 10 8 h 100
606 10 9 l 100
607 10 9 h 100
1260 10 11 l 100
1260 10 11 h 100
