tunnel_num s t prio weight
324 0 1 l 100
shutdown 0 1 h
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
175 0 4 l 100
175 0 4 h 100
684 0 5 l 100
684 0 5 h 100
1194 0 6 l 100
1194 0 6 h 100
42 0 7 l 100
42 0 7 h 100
702 0 8 l 100
702 0 8 h 100
1212 0 9 l 100
shutdown 0 9 h
shutdown 0 10 l
shutdown 0 11 l
1068 0 12 l 100
shutdown 0 12 h
1560 0 13 l 100
shutdown 0 13 h
shutdown 0 14 l
930 0 15 l 100
931 0 15 h 100
shutdown 0 16 l
699 1 0 l 100
696 1 0 h 100
1363 1 2 l 100
1362 1 2 h 100
834 1 3 l 100
835 1 3 h 100
1062 1 4 l 100
1062 1 4 h 100
570 1 5 l 100
570 1 5 h 100
54 1 6 l 100
54 1 6 h 100
1206 1 7 l 100
1206 1 7 h 100
1578 1 8 l 100
1578 1 8 h 100
1087 1 9 l 100
1087 1 9 h 100
589 1 10 l 100
589 1 10 h 100
78 1 11 l 100
78 1 11 h 100
338 1 12 l 100
338 1 12 h 100
1468 1 13 l 100
shutdown 1 13 h
942 1 14 l 100
944 1 14 h 100
449 1 15 l 100
444 1 15 h 100
547 1 16 l 100
547 1 16 h 100
1572 2 0 l 100
1572 2 0 h 100
438 2 1 l 100
438 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
shutdown 2 4 h
72 2 5 l 100
72 2 5 h 100
204 2 6 l 100
204 2 6 h 100
722 2 7 l 100
722 2 7 h 100
858 2 8 l 100
858 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1488 2 10 h 100
362 2 11 l 100
360 2 11 h 100
462 2 12 l 100
shutdown 2 12 h
960 2 13 l 100
960 2 13 h 100
1104 2 14 l 100
shutdown 2 14 h
1607 2 15 l 100
1603 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
356 3 1 l 100
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1224 3 4 l 100
1224 3 4 h 100
716 3 5 l 100
715 3 5 h 100
587 3 6 l 100
584 3 6 h 100
68 3 7 l 100
66 3 7 h 100
1566 3 8 l 100
1566 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
936 3 10 l 100
936 3 10 h 100
432 3 11 l 100
432 3 11 h 100
330 3 12 l 100
330 3 12 h 100
1458 3 13 l 100
1458 3 13 h 100
1356 3 14 l 100
1357 3 14 h 100
832 3 15 l 100
shutdown 3 15 h
978 3 16 l 100
978 3 16 h 100
96 4 0 l 73
97 4 0 l 26
98 4 0 h 100
600 4 1 l 100
600 4 1 h 100
shutdown 4 2 l
1590 4 3 l 100
1590 4 3 h 100
228 4 5 l 100
228 4 5 h 100
744 4 6 l 100
744 4 6 h 100
shutdown 4 7 l
846 4 8 l 100
846 4 8 h 100
shutdown 4 9 l
192 4 10 l 100
192 4 10 h 100
shutdown 4 11 l
shutdown 4 12 l
955 4 13 l 21
957 4 13 l 78
955 4 13 h 100
shutdown 4 14 l
349 4 15 l 100
350 4 15 h 100
252 4 16 l 100
shutdown 4 16 h
975 5 0 l 100
972 5 0 h 100
486 5 1 l 100
486 5 1 h 100
1614 5 2 l 100
1614 5 2 h 100
1122 5 3 l 30
1124 5 3 l 69
1124 5 3 h 100
624 5 4 l 100
624 5 4 h 100
1278 5 6 l 100
1278 5 6 h 100
768 5 7 l 100
768 5 7 h 100
90 5 8 l 100
90 5 8 h 100
1248 5 9 l 100
shutdown 5 9 h
738 5 10 l 100
738 5 10 h 100
222 5 11 l 100
222 5 11 h 100
1400 5 12 l 53
1401 5 12 l 46
1400 5 12 h 100
878 5 13 l 100
878 5 13 h 100
367 5 14 l 100
366 5 14 h 100
1500 5 15 l 100
1501 5 15 h 100
1153 5 16 l 100
shutdown 5 16 h
246 6 0 l 100
246 6 0 h 100
765 6 1 l 100
762 6 1 h 100
891 6 2 l 100
888 6 2 h 100
1412 6 3 l 100
1411 6 3 h 100
622 6 4 l 100
618 6 4 h 100
1119 6 5 l 100
1116 6 5 h 100
120 6 7 l 100
120 6 7 h 100
1146 6 8 l 100
1146 6 8 h 100
7 6 9 l 100
7 6 9 h 100
145 6 10 l 100
145 6 10 h 100
648 6 11 l 100
648 6 11 h 100
1514 6 12 l 100
1514 6 12 h 100
381 6 13 l 100
shutdown 6 13 h
506 6 14 l 100
506 6 14 h 100
997 6 15 l 100
996 6 15 h 100
397 6 16 l 100
397 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
647 7 1 l 100
642 7 1 h 100
500 7 2 l 100
500 7 2 h 100
2 7 3 l 100
2 7 3 h 100
786 7 4 l 100
787 7 4 h 100
270 7 5 l 100
270 7 5 h 100
138 7 6 l 100
138 7 6 h 100
390 7 8 l 100
390 7 8 h 100
shutdown 7 9 l
1429 7 10 l 100
1429 7 10 h 100
900 7 11 l 100
900 7 11 h 100
25 7 12 l 100
26 7 12 h 100
1178 7 13 l 100
1178 7 13 h 100
1026 7 14 l 100
1026 7 14 h 100
523 7 15 l 100
522 7 15 h 100
1322 7 16 l 100
1322 7 16 h 100
871 8 0 l 100
871 8 0 h 100
1392 8 1 l 100
1393 8 1 h 100
shutdown 8 2 l
732 8 3 l 100
732 8 3 h 100
1242 8 4 l 100
1242 8 4 h 100
84 8 5 l 100
84 8 5 h 100
594 8 6 l 100
594 8 6 h 100
shutdown 8 7 l
450 8 9 l 100
450 8 9 h 100
948 8 10 l 100
948 8 10 h 100
1470 8 11 l 100
1470 8 11 h 100
shutdown 8 12 l
842 8 13 l 100
842 8 13 h 100
1368 8 14 l 100
1368 8 14 h 100
191 8 15 l 100
186 8 15 h 100
992 8 16 l 100
992 8 16 h 100
108 9 0 l 100
108 9 0 h 100
1267 9 1 l 100
shutdown 9 1 h
750 9 2 l 100
750 9 2 h 100
240 9 3 l 100
240 9 3 h 100
shutdown 9 4 l
1608 9 5 l 100
1608 9 5 h 100
shutdown 9 6 l
shutdown 9 7 l
864 9 8 l 42
867 9 8 l 57
864 9 8 h 100
1494 9 10 l 100
1494 9 10 h 100
966 9 11 l 100
966 9 11 h 100
1236 9 12 l 100
1236 9 12 h 100
726 9 13 l 100
726 9 13 h 100
shutdown 9 14 l
1388 9 15 l 100
1388 9 15 h 100
264 9 16 l 100
264 9 16 h 100
985 10 0 l 100
985 10 0 h 100
1507 10 1 l 82
1510 10 1 l 17
1507 10 1 h 100
shutdown 10 2 l
493 10 3 l 100
shutdown 10 3 h
shutdown 10 4 l
shutdown 10 5 l
1291 10 6 l 100
1291 10 6 h 100
shutdown 10 7 l
102 10 8 l 100
102 10 8 h 100
606 10 9 l 100
606 10 9 h 100
1260 10 11 l 100
1260 10 11 h 100
1404 10 12 l 100
1405 10 12 h 100
234 10 13 l 100
235 10 13 h 100
shutdown 10 14 l
884 10 15 l 100
884 10 15 h 100
1170 10 16 l 100
1170 10 16 h 100
260 11 0 l 100
260 11 0 h 100
1421 11 1 l 100
1417 11 1 h 100
1286 11 2 l 100
1285 11 2 h 100
775 11 3 l 100
775 11 3 h 100
632 11 4 l 100
632 11 4 h 100
130 11 5 l 100
128 11 5 h 100
1623 11 6 l 100
1620 11 6 h 100
1128 11 7 l 100
1128 11 7 h 100
1164 11 8 l 100
1164 11 8 h 100
660 11 9 l 100
661 11 9 h 100
517 11 10 l 100
517 11 10 h 100
1519 11 12 l 100
1518 11 12 h 100
1015 11 13 l 100
1015 11 13 h 100
895 11 14 l 100
895 11 14 h 100
389 11 15 l 100
385 11 15 h 100
414 11 16 l 100
414 11 16 h 100
1158 12 0 l 100
shutdown 12 0 h
17 12 1 l 100
14 12 1 h 100
shutdown 12 2 l
shutdown 12 3 l
shutdown 12 4 l
1310 12 5 l 100
1310 12 5 h 100
shutdown 12 6 l
shutdown 12 7 l
408 12 8 l 100
408 12 8 h 100
shutdown 12 9 l
1434 12 10 l 49
1435 12 10 l 50
1434 12 10 h 100
282 12 11 l 100
282 12 11 h 100
540 12 13 l 100
541 12 13 h 100
shutdown 12 14 l
1545 12 15 l 100
1544 12 15 h 100
1338 12 16 l 100
1338 12 16 h 100
shutdown 13 0 l
1540 13 1 l 100
shutdown 13 1 h
shutdown 13 2 l
shutdown 13 3 l
37 13 4 l 100
shutdown 13 4 h
shutdown 13 5 l
682 13 6 l 100
shutdown 13 6 h
shutdown 13 7 l
1334 13 8 l 100
1334 13 8 h 100
shutdown 13 9 l
312 13 10 l 100
313 13 10 h 100
1440 13 11 l 100
1441 13 11 h 100
924 13 12 l 100
924 13 12 h 100
1556 13 14 l 100
shutdown 13 14 h
1060 13 15 l 100
shutdown 13 15 h
564 13 16 l 100
564 13 16 h 100
1328 14 0 l 100
1328 14 0 h 100
162 14 1 l 100
164 14 1 h 100
307 14 2 l 100
shutdown 14 2 h
810 14 3 l 100
shutdown 14 3 h
30 14 4 l 100
32 14 4 h 100
528 14 5 l 100
528 14 5 h 100
672 14 6 l 100
674 14 6 h 100
1186 14 7 l 100
1182 14 7 h 100
780 14 8 l 100
780 14 8 h 100
906 14 9 l 100
906 14 9 h 100
1033 14 10 l 100
shutdown 14 10 h
1531 14 11 l 100
1531 14 11 h 100
796 14 12 l 100
794 14 12 h 100
1306 14 13 l 86
1307 14 13 l 13
shutdown 14 13 h
276 14 15 l 100
277 14 15 h 100
shutdown 14 16 l
558 15 0 l 100
559 15 0 h 100
49 15 1 l 100
49 15 1 h 100
1549 15 2 l 100
1548 15 2 h 100
1051 15 3 l 100
1052 15 3 h 100
181 15 4 l 100
182 15 4 h 100
1350 15 5 l 100
1350 15 5 h 100
1200 15 6 l 100
1200 15 6 h 100
690 15 7 l 100
690 15 7 h 100
1219 15 8 l 100
1219 15 8 h 100
shutdown 15 9 l
671 15 10 l 100
668 15 10 h 100
157 15 11 l 100
158 15 11 h 100
923 15 12 l 100
920 15 12 h 100
423 15 13 l 100
shutdown 15 13 h
300 15 14 l 100
300 15 14 h 100
759 15 16 l 100
shutdown 15 16 h
1584 16 0 l 100
1584 16 0 h 100
293 16 1 l 100
290 16 1 h 100
1296 16 2 l 100
1296 16 2 h 100
114 16 3 l 100
114 16 3 h 100
552 16 4 l 100
552 16 4 h 100
298 16 5 l 100
295 16 5 h 100
19 16 6 l 100
19 16 6 h 100
shutdown 16 7 l
1275 16 8 l 100
1274 16 8 h 100
1002 16 9 l 100
1002 16 9 h 100
1020 16 10 l 100
1021 16 10 h 100
1476 16 11 l 100
1476 16 11 h 100
1446 16 12 l 100
1447 16 12 h 100
480 16 13 l 100
480 16 13 h 100
shutdown 16 14 l
1600 16 15 l 100
shutdown 16 15 h
