tunnel_num s t prio weight
328 0 1 l 100
325 0 1 h 100
822 0 2 l 28
827 0 2 l 71
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
176 0 4 l 100
176 0 4 h 23
174 0 4 h 76
684 0 5 l 100
684 0 5 h 100
1195 0 6 l 100
1194 0 6 h 100
42 0 7 l 100
42 0 7 h 100
705 0 8 l 100
702 0 8 h 100
1212 0 9 l 100
1212 0 9 h 100
shutdown 0 10 l
578 0 11 l 100
576 0 11 h 100
1068 0 12 l 100
1069 0 12 h 100
1560 0 13 l 100
1560 0 13 h 100
428 0 14 l 100
428 0 14 h 100
933 0 15 l 100
930 0 15 h 100
1314 0 16 l 100
1314 0 16 h 100
700 1 0 l 100
696 1 0 h 100
1364 1 2 l 100
1364 1 2 h 100
837 1 3 l 100
836 1 3 h 100
1064 1 4 l 100
1064 1 4 h 100
570 1 5 l 50
572 1 5 l 50
570 1 5 h 100
55 1 6 l 100
56 1 6 h 50
55 1 6 h 50
1206 1 7 l 100
1206 1 7 h 100
1580 1 8 l 50
1582 1 8 l 50
1580 1 8 h 100
1088 1 9 l 13
1091 1 9 l 86
1088 1 9 h 100
588 1 10 l 100
588 1 10 h 100
79 1 11 l 50
82 1 11 l 50
80 1 11 h 100
336 1 12 l 100
336 1 12 h 100
1464 1 13 l 100
1465 1 13 h 100
946 1 14 l 100
942 1 14 h 100
449 1 15 l 100
445 1 15 h 100
546 1 16 l 100
546 1 16 h 100
1576 2 0 l 100
1572 2 0 h 100
440 2 1 l 100
440 2 1 h 100
1080 2 3 l 100
1081 2 3 h 100
1232 2 4 l 100
1232 2 4 h 100
74 2 5 l 100
74 2 5 h 100
204 2 6 l 100
206 2 6 h 100
724 2 7 l 100
720 2 7 h 100
860 2 8 l 100
858 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1489 2 10 h 100
361 2 11 l 100
360 2 11 h 100
463 2 12 l 100
463 2 12 h 100
964 2 13 l 100
960 2 13 h 100
1108 2 14 l 100
1106 2 14 h 100
1604 2 15 l 100
1604 2 15 h 100
1452 2 16 l 100
1453 2 16 h 100
852 3 0 l 100
852 3 0 h 100
357 3 1 l 100
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1228 3 4 l 100
1224 3 4 h 100
719 3 5 l 100
714 3 5 h 100
583 3 6 l 100
584 3 6 h 100
68 3 7 l 100
68 3 7 h 100
1570 3 8 l 100
1568 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
938 3 10 l 100
938 3 10 h 100
433 3 11 l 100
433 3 11 h 100
335 3 12 l 100
330 3 12 h 100
1463 3 13 l 100
1458 3 13 h 100
1358 3 14 l 100
1358 3 14 h 100
830 3 15 l 100
829 3 15 h 100
982 3 16 l 100
978 3 16 h 100
97 4 0 l 100
97 4 0 h 100
605 4 1 l 100
602 4 1 h 100
shutdown 4 2 l
1591 4 3 l 100
1590 4 3 h 100
230 4 5 l 100
228 4 5 h 100
744 4 6 l 100
744 4 6 h 100
1254 4 7 l 100
1254 4 7 h 100
851 4 8 l 100
847 4 8 h 100
1374 4 9 l 100
1374 4 9 h 100
shutdown 4 10 l
708 4 11 l 100
710 4 11 h 100
456 4 12 l 100
456 4 12 h 100
shutdown 4 13 l
shutdown 4 14 l
349 4 15 l 100
349 4 15 h 100
252 4 16 l 13
255 4 16 l 86
253 4 16 h 100
972 5 0 l 92
973 5 0 l 7
973 5 0 h 100
488 5 1 l 100
488 5 1 h 100
1614 5 2 l 100
1616 5 2 h 100
1124 5 3 l 100
1122 5 3 h 100
624 5 4 l 100
626 5 4 h 100
1279 5 6 l 100
1279 5 6 h 100
shutdown 5 7 l
92 5 8 l 50
95 5 8 l 50
92 5 8 h 100
1253 5 9 l 100
1248 5 9 h 100
739 5 10 l 100
739 5 10 h 100
222 5 11 l 100
223 5 11 h 100
1399 5 12 l 100
1399 5 12 h 100
877 5 13 l 100
876 5 13 h 100
371 5 14 l 100
367 5 14 h 100
1502 5 15 l 100
1502 5 15 h 100
1152 5 16 l 100
1154 5 16 h 100
251 6 0 l 100
246 6 0 h 100
762 6 1 l 100
762 6 1 h 100
889 6 2 l 33
890 6 2 l 33
892 6 2 l 33
889 6 2 h 50
890 6 2 h 50
1410 6 3 l 7
1414 6 3 l 92
1411 6 3 h 100
620 6 4 l 100
620 6 4 h 100
1118 6 5 l 100
1118 6 5 h 100
120 6 7 l 100
122 6 7 h 100
1147 6 8 l 100
1147 6 8 h 100
8 6 9 l 100
8 6 9 h 100
149 6 10 l 100
144 6 10 h 100
652 6 11 l 100
650 6 11 h 100
1516 6 12 l 100
1513 6 12 h 100
383 6 13 l 100
378 6 13 h 100
509 6 14 l 100
506 6 14 h 100
998 6 15 l 95
1001 6 15 l 4
996 6 15 h 50
998 6 15 h 50
398 6 16 l 100
398 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
642 7 1 l 100
642 7 1 h 100
500 7 2 l 100
500 7 2 h 100
2 7 3 l 100
2 7 3 h 100
789 7 4 l 100
787 7 4 h 100
270 7 5 l 25
273 7 5 l 25
274 7 5 l 25
275 7 5 l 25
270 7 5 h 100
138 7 6 l 50
139 7 6 l 50
138 7 6 h 50
139 7 6 h 50
393 7 8 l 50
395 7 8 l 50
391 7 8 h 100
1524 7 9 l 100
1524 7 9 h 50
1526 7 9 h 50
1428 7 10 l 100
1428 7 10 h 100
901 7 11 l 33
903 7 11 l 33
904 7 11 l 33
901 7 11 h 100
26 7 12 l 33
28 7 12 l 33
29 7 12 l 33
26 7 12 h 100
1177 7 13 l 50
1180 7 13 l 50
1177 7 13 h 50
1178 7 13 h 50
1030 7 14 l 100
1026 7 14 h 100
522 7 15 l 33
525 7 15 l 33
526 7 15 l 33
522 7 15 h 50
523 7 15 h 50
1320 7 16 l 33
1322 7 16 l 33
1323 7 16 l 33
1320 7 16 h 100
871 8 0 l 100
870 8 0 h 100
1396 8 1 l 100
1393 8 1 h 100
shutdown 8 2 l
732 8 3 l 100
732 8 3 h 100
1242 8 4 l 100
1242 8 4 h 100
86 8 5 l 100
85 8 5 h 100
596 8 6 l 100
594 8 6 h 100
1094 8 7 l 100
1094 8 7 h 100
450 8 9 l 100
452 8 9 h 100
950 8 10 l 100
949 8 10 h 100
1470 8 11 l 100
1470 8 11 h 100
342 8 12 l 100
342 8 12 h 100
841 8 13 l 56
844 8 13 l 43
841 8 13 h 100
shutdown 8 14 l
188 8 15 l 100
187 8 15 h 100
992 8 16 l 100
990 8 16 h 100
108 9 0 l 100
108 9 0 h 100
1266 9 1 l 100
1266 9 1 h 70
1268 9 1 h 29
750 9 2 l 100
750 9 2 h 100
240 9 3 l 48
243 9 3 l 51
240 9 3 h 100
468 9 4 l 41
470 9 4 l 58
468 9 4 h 50
470 9 4 h 50
1609 9 5 l 100
1609 9 5 h 50
1610 9 5 h 50
1110 9 6 l 100
1111 9 6 h 100
612 9 7 l 100
612 9 7 h 100
864 9 8 l 50
869 9 8 l 50
864 9 8 h 100
1497 9 10 l 100
1494 9 10 h 100
968 9 11 l 100
968 9 11 h 100
1236 9 12 l 100
1236 9 12 h 100
726 9 13 l 100
726 9 13 h 100
212 9 14 l 100
212 9 14 h 100
1388 9 15 l 100
1388 9 15 h 100
265 9 16 l 33
266 9 16 l 33
269 9 16 l 33
265 9 16 h 100
989 10 0 l 100
985 10 0 h 100
1506 10 1 l 100
1506 10 1 h 100
shutdown 10 2 l
497 10 3 l 100
493 10 3 h 100
640 10 4 l 100
637 10 4 h 100
1138 10 5 l 100
1135 10 5 h 100
1290 10 6 l 100
1290 10 6 h 100
shutdown 10 7 l
103 10 8 l 50
106 10 8 l 50
103 10 8 h 100
606 10 9 l 100
606 10 9 h 100
1261 10 11 l 100
1262 10 11 h 100
1405 10 12 l 100
1405 10 12 h 100
237 10 13 l 100
235 10 13 h 100
375 10 14 l 100
374 10 14 h 100
885 10 15 l 100
883 10 15 h 100
1170 10 16 l 100
1170 10 16 h 100
259 11 0 l 100
260 11 0 h 100
1416 11 1 l 100
1417 11 1 h 100
1288 11 2 l 100
1284 11 2 h 100
776 11 3 l 100
776 11 3 h 100
630 11 4 l 100
630 11 4 h 100
130 11 5 l 100
127 11 5 h 100
1621 11 6 l 100
1622 11 6 h 100
1130 11 7 l 100
1129 11 7 h 100
1164 11 8 l 100
1164 11 8 h 100
660 11 9 l 100
662 11 9 h 100
517 11 10 l 100
517 11 10 h 100
1518 11 12 l 100
1518 11 12 h 100
1014 11 13 l 100
1014 11 13 h 100
894 11 14 l 100
894 11 14 h 100
384 11 15 l 100
386 11 15 h 100
414 11 16 l 100
416 11 16 h 100
1160 12 0 l 100
1159 12 0 h 100
12 12 1 l 50
13 12 1 l 50
13 12 1 h 100
511 12 2 l 100
510 12 2 h 100
1010 12 3 l 4
1013 12 3 l 95
1009 12 3 h 100
798 12 4 l 100
798 12 4 h 100
1308 12 5 l 100
1309 12 5 h 100
151 12 6 l 100
150 12 6 h 100
shutdown 12 7 l
408 12 8 l 100
408 12 8 h 100
912 12 9 l 98
914 12 9 l 1
914 12 9 h 100
1435 12 10 l 100
1435 12 10 h 100
282 12 11 l 100
282 12 11 h 100
540 12 13 l 100
540 12 13 h 100
1044 12 14 l 100
1044 12 14 h 100
1545 12 15 l 100
1543 12 15 h 100
1341 12 16 l 100
1338 12 16 h 100
404 13 0 l 100
404 13 0 h 100
1538 13 1 l 100
1538 13 1 h 100
1039 13 2 l 100
1039 13 2 h 100
538 13 3 l 100
536 13 3 h 100
37 13 4 l 100
36 13 4 h 100
1188 13 5 l 100
1189 13 5 h 100
682 13 6 l 100
680 13 6 h 100
171 13 7 l 100
168 13 7 h 100
1333 13 8 l 50
1334 13 8 l 50
1333 13 8 h 50
1334 13 8 h 50
shutdown 13 9 l
313 13 10 l 100
313 13 10 h 100
1440 13 11 l 50
1443 13 11 l 50
1440 13 11 h 100
924 13 12 l 100
924 13 12 h 100
1554 13 14 l 36
1557 13 14 l 63
1554 13 14 h 100
1061 13 15 l 100
1058 13 15 h 100
565 13 16 l 100
565 13 16 h 100
1330 14 0 l 100
1326 14 0 h 100
165 14 1 l 100
162 14 1 h 100
311 14 2 l 100
308 14 2 h 100
813 14 3 l 100
810 14 3 h 100
30 14 4 l 100
30 14 4 h 100
528 14 5 l 100
528 14 5 h 100
677 14 6 l 100
672 14 6 h 100
1182 14 7 l 100
1182 14 7 h 100
782 14 8 l 50
784 14 8 l 50
780 14 8 h 50
782 14 8 h 50
906 14 9 l 100
906 14 9 h 99
908 14 9 h 0
1035 14 10 l 100
1034 14 10 h 100
1530 14 11 l 50
1531 14 11 l 50
1530 14 11 h 50
1531 14 11 h 50
792 14 12 l 50
794 14 12 l 50
792 14 12 h 50
794 14 12 h 50
1302 14 13 l 100
1302 14 13 h 100
277 14 15 l 100
276 14 15 h 100
319 14 16 l 100
320 14 16 h 100
560 15 0 l 100
560 15 0 h 100
50 15 1 l 100
50 15 1 h 100
1553 15 2 l 100
1550 15 2 h 100
1050 15 3 l 100
1050 15 3 h 100
185 15 4 l 100
180 15 4 h 100
1353 15 5 l 100
1350 15 5 h 100
1200 15 6 l 100
1200 15 6 h 100
693 15 7 l 100
690 15 7 h 100
1221 15 8 l 100
1220 15 8 h 100
809 15 9 l 100
805 15 9 h 100
670 15 10 l 100
667 15 10 h 100
157 15 11 l 100
157 15 11 h 100
918 15 12 l 100
918 15 12 h 100
420 15 13 l 100
420 15 13 h 100
300 15 14 l 100
300 15 14 h 100
761 15 16 l 100
758 15 16 h 100
1584 16 0 l 100
1584 16 0 h 100
288 16 1 l 50
290 16 1 l 50
288 16 1 h 50
289 16 1 h 50
1296 16 2 l 100
1296 16 2 h 100
114 16 3 l 100
116 16 3 h 100
554 16 4 l 100
554 16 4 h 100
294 16 5 l 100
294 16 5 h 50
295 16 5 h 50
19 16 6 l 100
19 16 6 h 100
1426 16 7 l 100
1422 16 7 h 100
1272 16 8 l 50
1276 16 8 l 50
1272 16 8 h 100
1002 16 9 l 100
1002 16 9 h 100
1020 16 10 l 100
1020 16 10 h 100
1478 16 11 l 50
1481 16 11 l 50
1478 16 11 h 100
1449 16 12 l 100
1446 16 12 h 100
484 16 13 l 100
482 16 13 h 100
475 16 14 l 100
474 16 14 h 100
1599 16 15 l 100
1597 16 15 h 100
