tunnel_num s t prio weight
324 0 1 l 33
325 0 1 l 33
327 0 1 l 33
324 0 1 h 100
822 0 2 l 100
823 0 2 h 100
shutdown 0 3 l
175 0 4 l 100
174 0 4 h 100
684 0 5 l 50
686 0 5 l 50
684 0 5 h 100
1194 0 6 l 100
1194 0 6 h 100
shutdown 0 7 l
703 0 8 l 100
703 0 8 h 100
shutdown 0 9 l
61 0 10 l 44
62 0 10 l 55
62 0 10 h 100
581 0 11 l 100
shutdown 0 11 h
shutdown 0 12 l
1562 0 13 l 100
shutdown 0 13 h
shutdown 0 14 l
930 0 15 l 100
930 0 15 h 100
1315 0 16 l 100
1314 0 16 h 100
698 1 0 l 33
700 1 0 l 33
701 1 0 l 33
698 1 0 h 100
1363 1 2 l 50
1364 1 2 l 50
1363 1 2 h 50
1364 1 2 h 50
836 1 3 l 50
837 1 3 l 50
835 1 3 h 50
836 1 3 h 50
1063 1 4 l 50
1064 1 4 l 50
1064 1 4 h 50
1063 1 4 h 50
570 1 5 l 100
570 1 5 h 50
571 1 5 h 50
55 1 6 l 100
56 1 6 h 50
55 1 6 h 50
1207 1 7 l 100
1207 1 7 h 100
1581 1 8 l 100
1579 1 8 h 100
1088 1 9 l 100
1088 1 9 h 100
588 1 10 l 100
588 1 10 h 100
81 1 11 l 100
78 1 11 h 100
shutdown 1 12 l
1469 1 13 l 100
1465 1 13 h 100
944 1 14 l 100
943 1 14 h 100
449 1 15 l 100
446 1 15 h 100
548 1 16 l 100
548 1 16 h 100
1573 2 0 l 100
1572 2 0 h 100
440 2 1 l 33
441 2 1 l 33
442 2 1 l 33
440 2 1 h 100
1084 2 3 l 100
1082 2 3 h 100
1232 2 4 l 50
1233 2 4 l 50
1232 2 4 h 100
74 2 5 l 100
74 2 5 h 100
207 2 6 l 100
204 2 6 h 100
720 2 7 l 100
720 2 7 h 47
722 2 7 h 52
858 2 8 l 100
859 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1489 2 10 h 100
362 2 11 l 100
362 2 11 h 100
shutdown 2 12 l
960 2 13 l 100
960 2 13 h 100
1107 2 14 l 100
1106 2 14 h 100
1602 2 15 l 33
1605 2 15 l 33
1606 2 15 l 33
1602 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
358 3 1 l 100
356 3 1 h 100
199 3 2 l 50
200 3 2 l 50
200 3 2 h 50
199 3 2 h 50
1225 3 4 l 50
1227 3 4 l 50
1225 3 4 h 100
716 3 5 l 100
716 3 5 h 100
584 3 6 l 100
584 3 6 h 100
66 3 7 l 100
67 3 7 h 100
1566 3 8 l 100
1567 3 8 h 100
1076 3 9 l 100
1076 3 9 h 100
938 3 10 l 100
938 3 10 h 100
436 3 11 l 100
432 3 11 h 100
shutdown 3 12 l
1462 3 13 l 100
1460 3 13 h 100
1360 3 14 l 100
1358 3 14 h 100
830 3 15 l 100
830 3 15 h 100
980 3 16 l 50
983 3 16 l 50
980 3 16 h 100
97 4 0 l 100
97 4 0 h 100
604 4 1 l 100
600 4 1 h 50
602 4 1 h 50
shutdown 4 2 l
shutdown 4 3 l
230 4 5 l 100
228 4 5 h 100
746 4 6 l 100
744 4 6 h 100
shutdown 4 7 l
846 4 8 l 100
846 4 8 h 100
shutdown 4 9 l
193 4 10 l 100
193 4 10 h 100
711 4 11 l 100
708 4 11 h 100
shutdown 4 12 l
shutdown 4 13 l
shutdown 4 14 l
352 4 15 l 33
349 4 15 l 33
351 4 15 l 33
349 4 15 h 100
252 4 16 l 100
252 4 16 h 100
973 5 0 l 100
973 5 0 h 100
486 5 1 l 50
487 5 1 l 50
488 5 1 h 50
486 5 1 h 50
1614 5 2 l 100
1616 5 2 h 50
1614 5 2 h 50
1123 5 3 l 50
1124 5 3 l 50
1122 5 3 h 50
1124 5 3 h 50
624 5 4 l 50
629 5 4 l 50
624 5 4 h 100
1278 5 6 l 100
1279 5 6 h 100
768 5 7 l 100
769 5 7 h 100
93 5 8 l 100
91 5 8 h 100
1248 5 9 l 100
1248 5 9 h 50
1249 5 9 h 50
739 5 10 l 50
741 5 10 l 50
739 5 10 h 100
225 5 11 l 100
224 5 11 h 100
shutdown 5 12 l
877 5 13 l 50
881 5 13 l 50
877 5 13 h 50
878 5 13 h 50
369 5 14 l 100
367 5 14 h 100
1504 5 15 l 33
1502 5 15 l 33
1503 5 15 l 33
1502 5 15 h 100
1152 5 16 l 50
