tunnel_num s t prio weight
327 0 1 l 100
324 0 1 h 100
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
175 0 4 l 100
175 0 4 h 100
687 0 5 l 100
685 0 5 h 100
1194 0 6 l 100
1194 0 6 h 100
shutdown 0 7 l
shutdown 0 8 l
1212 0 9 l 95
1215 0 9 l 4
shutdown 0 9 h
63 0 10 l 100
shutdown 0 10 h
580 0 11 l 100
shutdown 0 11 h
1072 0 12 l 100
shutdown 0 12 h
1565 0 13 l 100
shutdown 0 13 h
shutdown 0 14 l
930 0 15 l 100
930 0 15 h 100
1317 0 16 l 100
1314 0 16 h 100
696 1 0 l 50
699 1 0 l 50
696 1 0 h 100
1365 1 2 l 100
1363 1 2 h 100
836 1 3 l 50
838 1 3 l 50
836 1 3 h 100
1062 1 4 l 100
1062 1 4 h 100
570 1 5 l 100
571 1 5 h 100
54 1 6 l 100
54 1 6 h 100
1206 1 7 l 100
1206 1 7 h 100
1580 1 8 l 100
1580 1 8 h 100
1091 1 9 l 100
1088 1 9 h 100
591 1 10 l 100
shutdown 1 10 h
80 1 11 l 100
80 1 11 h 100
340 1 12 l 100
shutdown 1 12 h
1469 1 13 l 100
1464 1 13 h 100
943 1 14 l 100
942 1 14 h 100
444 1 15 l 50
445 1 15 l 50
444 1 15 h 50
445 1 15 h 50
550 1 16 l 100
548 1 16 h 100
1577 2 0 l 100
1572 2 0 h 100
439 2 1 l 100
439 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
shutdown 2 4 h
72 2 5 l 100
72 2 5 h 100
204 2 6 l 100
205 2 6 h 100
722 2 7 l 100
722 2 7 h 100
863 2 8 l 100
860 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1493 2 10 l 100
1490 2 10 h 100
364 2 11 l 100
361 2 11 h 100
462 2 12 l 48
465 2 12 l 51
shutdown 2 12 h
965 2 13 l 100
961 2 13 h 100
1107 2 14 l 100
1104 2 14 h 100
1607 2 15 l 100
1602 2 15 h 100
1457 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
358 3 1 l 100
354 3 1 h 99
356 3 1 h 0
198 3 2 l 100
200 3 2 h 100
1227 3 4 l 100
1224 3 4 h 100
716 3 5 l 100
714 3 5 h 100
584 3 6 l 100
584 3 6 h 100
68 3 7 l 100
68 3 7 h 100
1568 3 8 l 100
1568 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
939 3 10 l 100
937 3 10 h 100
437 3 11 l 100
433 3 11 h 100
334 3 12 l 100
332 3 12 h 100
1460 3 13 l 100
1460 3 13 h 100
1358 3 14 l 100
1356 3 14 h 95
1358 3 14 h 4
830 3 15 l 100
830 3 15 h 100
981 3 16 l 100
978 3 16 h 100
100 4 0 l 100
97 4 0 h 50
98 4 0 h 50
601 4 1 l 100
601 4 1 h 100
1101 4 2 l 100
shutdown 4 2 h
1595 4 3 l 100
shutdown 4 3 h
228 4 5 l 100
228 4 5 h 100
744 4 6 l 33
745 4 6 l 33
748 4 6 l 33
744 4 6 h 100
shutdown 4 7 l
847 4 8 l 100
847 4 8 h 100
shutdown 4 9 l
197 4 10 l 100
shutdown 4 10 h
709 4 11 l 100
709 4 11 h 100
shutdown 4 12 l
959 4 13 l 100
954 4 13 h 100
shutdown 4 14 l
348 4 15 l 33
349 4 15 l 33
350 4 15 l 33
348 4 15 h 33
349 4 15 h 33
350 4 15 h 33
shutdown 4 16 l
972 5 0 l 50
975 5 0 l 50
972 5 0 h 100
486 5 1 l 100
486 5 1 h 100
1617 5 2 l 100
1615 5 2 h 100
shutdown 5 3 l
625 5 4 l 100
624 5 4 h 100
1278 5 6 l 66
1279 5 6 l 33
1278 5 6 h 100
771 5 7 l 100
768 5 7 h 100
92 5 8 l 100
92 5 8 h 100
