tunnel_num s t prio weight
326 0 1 l 100
326 0 1 h 100
822 0 2 l 93
826 0 2 l 6
822 0 2 h 100
shutdown 0 3 l
175 0 4 l 100
175 0 4 h 100
684 0 5 l 100
684 0 5 h 100
1194 0 6 l 100
1194 0 6 h 100
shutdown 0 7 l
704 0 8 l 50
703 0 8 l 50
704 0 8 h 50
703 0 8 h 50
1212 0 9 l 100
1212 0 9 h 100
65 0 10 l 50
61 0 10 l 50
61 0 10 h 100
577 0 11 l 50
581 0 11 l 50
577 0 11 h 100
1071 0 12 l 50
1073 0 12 l 50
1069 0 12 h 59
1070 0 12 h 40
1561 0 13 l 100
1561 0 13 h 100
shutdown 0 14 l
930 0 15 l 33
931 0 15 l 33
932 0 15 l 33
930 0 15 h 33
931 0 15 h 33
932 0 15 h 33
1314 0 16 l 50
1318 0 16 l 50
1314 0 16 h 100
696 1 0 l 33
697 1 0 l 33
699 1 0 l 33
698 1 0 h 100
1364 1 2 l 100
1364 1 2 h 100
838 1 3 l 100
836 1 3 h 100
1062 1 4 l 50
1066 1 4 l 50
1063 1 4 h 100
570 1 5 l 100
570 1 5 h 100
58 1 6 l 100
54 1 6 h 100
1210 1 7 l 50
1211 1 7 l 50
1207 1 7 h 100
1578 1 8 l 50
1581 1 8 l 50
1578 1 8 h 100
1086 1 9 l 100
1086 1 9 h 100
588 1 10 l 100
588 1 10 h 100
81 1 11 l 100
78 1 11 h 100
336 1 12 l 50
339 1 12 l 50
336 1 12 h 100
1464 1 13 l 50
1467 1 13 l 50
1464 1 13 h 100
942 1 14 l 100
944 1 14 h 50
942 1 14 h 50
444 1 15 l 33
445 1 15 l 33
446 1 15 l 33
444 1 15 h 50
445 1 15 h 50
546 1 16 l 100
546 1 16 h 50
547 1 16 h 50
1577 2 0 l 100
1574 2 0 h 100
439 2 1 l 100
439 2 1 h 100
1080 2 3 l 100
1081 2 3 h 100
1230 2 4 l 100
1232 2 4 h 100
73 2 5 l 100
72 2 5 h 100
209 2 6 l 100
205 2 6 h 100
722 2 7 l 50
725 2 7 l 50
722 2 7 h 100
862 2 8 l 50
863 2 8 l 50
858 2 8 h 100
1380 2 9 l 50
1382 2 9 l 50
1380 2 9 h 50
1382 2 9 h 50
1489 2 10 l 50
1492 2 10 l 50
1489 2 10 h 100
360 2 11 l 25
362 2 11 l 25
363 2 11 l 25
364 2 11 l 25
362 2 11 h 100
465 2 12 l 100
463 2 12 h 100
962 2 13 l 100
961 2 13 h 100
1105 2 14 l 100
1104 2 14 h 100
1602 2 15 l 50
1607 2 15 l 50
1602 2 15 h 100
1452 2 16 l 50
1454 2 16 l 50
1452 2 16 h 50
1454 2 16 h 50
852 3 0 l 50
857 3 0 l 50
852 3 0 h 50
854 3 0 h 50
355 3 1 l 50
358 3 1 l 50
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1229 3 4 l 100
1225 3 4 h 100
719 3 5 l 100
715 3 5 h 100
584 3 6 l 50
587 3 6 l 50
584 3 6 h 100
