tunnel_num s t weight
throttle 0 1 0.399855
162 0 1 100
411 0 2 50
412 0 2 50
672 0 3 50
673 0 3 50
89 0 4 50
87 0 4 50
342 0 5 50
343 0 5 50
597 0 6 50
598 0 6 50
21 0 7 50
22 0 7 50
throttle 0 8 0.399855
352 0 8 100
throttle 0 9 0.399855
606 0 9 100
throttle 0 10 0.399855
32 0 10 100
throttle 0 11 0.399855
289 0 11 100
throttle 0 12 0.399855
534 0 12 100
780 0 13 50
781 0 13 50
213 0 14 50
214 0 14 50
465 0 15 33
466 0 15 33
467 0 15 33
throttle 0 16 0.399855
657 0 16 100
throttle 1 0 0.399855
348 1 0 100
throttle 1 2 0.399855
683 1 2 100
417 1 3 50
418 1 3 50
531 1 4 50
532 1 4 50
285 1 5 50
286 1 5 50
throttle 1 6 0.399855
27 1 6 100
603 1 7 50
604 1 7 50
shutdown 1 8
throttle 1 9 0.399855
544 1 9 100
shutdown 1 10
shutdown 1 11
shutdown 1 12
throttle 1 13 0.399855
733 1 13 100
473 1 14 5
471 1 14 94
222 1 15 50
223 1 15 50
throttle 1 16 0.399855
275 1 16 100
786 2 0 50
787 2 0 50
throttle 2 1 0.362349
220 2 1 5
221 2 1 94
540 2 3 50
541 2 3 50
throttle 2 4 0.399855
615 2 4 100
36 2 5 50
38 2 5 50
throttle 2 6 0.399855
102 2 6 100
360 2 7 50
361 2 7 50
430 2 8 100
throttle 2 9 0.399855
690 2 9 100
744 2 10 100
throttle 2 11 0.399855
181 2 11 100
throttle 2 12 0.399855
231 2 12 100
throttle 2 13 0.399855
480 2 13 100
552 2 14 50
553 2 14 50
801 2 15 33
802 2 15 33
803 2 15 33
726 2 16 50
727 2 16 50
426 3 0 99
177 3 1 50
179 3 1 50
99 3 2 50
100 3 2 50
throttle 3 4 0.399855
613 3 4 100
357 3 5 50
358 3 5 50
291 3 6 50
292 3 6 50
33 3 7 50
34 3 7 50
shutdown 3 8
537 3 9 100
throttle 3 10 0.399855
468 3 10 100
shutdown 3 11
166 3 12 50
167 3 12 50
729 3 13 50
730 3 13 50
680 3 14 84
678 3 14 7
679 3 14 7
416 3 15 33
414 3 15 33
415 3 15 33
throttle 3 16 0.399855
489 3 16 100
48 4 0 50
50 4 0 50
300 4 1 50
301 4 1 50
throttle 4 2 0.399855
549 4 2 100
795 4 3 50
797 4 3 49
114 4 5 50
115 4 5 50
372 4 6 50
373 4 6 50
628 4 7 50
629 4 7 49
throttle 4 8 0.399855
424 4 8 100
throttle 4 9 0.399855
687 4 9 100
throttle 4 10 0.399855
98 4 10 100
throttle 4 11 0.399855
355 4 11 100
throttle 4 12 0.399855
229 4 12 100
throttle 4 13 0.399855
477 4 13 100
741 4 14 40
742 4 14 59
176 4 15 33
174 4 15 33
175 4 15 33
throttle 4 16 0.399855
126 4 16 100
486 5 0 49
487 5 0 50
243 5 1 50
244 5 1 50
809 5 2 50
807 5 2 50
561 5 3 50
562 5 3 50
312 5 4 50
313 5 4 50
641 5 6 78
639 5 6 21
384 5 7 50
385 5 7 50
throttle 5 8 0.399855
46 5 8 100
625 5 9 50
626 5 9 50
throttle 5 10 0.399855
371 5 10 100
throttle 5 11 0.399855
113 5 11 100
throttle 5 12 0.399855
699 5 12 100
throttle 5 13 0.399855
438 5 13 100
185 5 14 50
183 5 14 50
752 5 15 50
750 5 15 50
577 5 16 50
578 5 16 50
throttle 6 0 0.399855
123 6 0 100
381 6 1 50
382 6 1 50
throttle 6 2 0.399855
444 6 2 50
446 6 2 50
throttle 6 3 0.399855
706 6 3 100
310 6 4 50
311 6 4 50
560 6 5 89
558 6 5 10
throttle 6 7 0.399855
60 6 7 100
shutdown 6 8
throttle 6 9 0.399855
4 6 9 100
shutdown 6 10
shutdown 6 11
shutdown 6 12
190 6 13 100
252 6 14 50
253 6 14 50
498 6 15 50
500 6 15 50
throttle 6 16 0.399855
199 6 16 100
570 7 0 99
throttle 7 1 0.399855
321 7 1 100
249 7 2 68
250 7 2 31
throttle 7 3 0.399855
0 7 3 100
394 7 4 2
395 7 4 97
136 7 5 50
135 7 5 50
69 7 6 50
70 7 6 50
throttle 7 8 0.399855
196 7 8 100
throttle 7 9 0.399855
762 7 9 100
shutdown 7 10
throttle 7 11 0.399855
451 7 11 100
throttle 7 12 0.399855
13 7 12 100
588 7 13 50
589 7 13 50
513 7 14 33
514 7 14 33
515 7 14 33
261 7 15 33
262 7 15 33
263 7 15 33
throttle 7 16 0.399855
661 7 16 100
shutdown 8 0
shutdown 8 1
throttle 8 2 0.399855
109 8 2 100
shutdown 8 3
shutdown 8 4
throttle 8 5 0.399855
43 8 5 100
shutdown 8 6
shutdown 8 7
throttle 8 9 0.399855
226 8 9 100
throttle 8 10 0.399855
474 8 10 100
throttle 8 11 0.399855
735 8 11 100
171 8 12 50
173 8 12 50
420 8 13 49
422 8 13 50
throttle 8 14 0.399855
685 8 14 100
throttle 8 15 0.399855
94 8 15 100
throttle 8 16 0.399855
495 8 16 100
54 9 0 100
throttle 9 1 0.399855
634 9 1 100
throttle 9 2 0.399855
375 9 2 100
throttle 9 3 0.399855
120 9 3 100
throttle 9 4 0.399855
234 9 4 100
805 9 5 50
806 9 5 50
throttle 9 6 0.399855
556 9 6 100
throttle 9 7 0.399855
307 9 7 100
throttle 9 8 0.399855
433 9 8 100
throttle 9 10 0.399855
747 9 10 100
throttle 9 11 0.399855
483 9 11 100
618 9 12 12
620 9 12 87
363 9 13 50
364 9 13 50
105 9 14 49
106 9 14 50
693 9 15 50
694 9 15 50
throttle 9 16 0.399855
132 9 16 100
throttle 10 0 0.399855
494 10 0 100
shutdown 10 1
throttle 10 2 0.399855
813 10 2 100
throttle 10 3 0.399855
246 10 3 100
shutdown 10 4
throttle 10 5 0.399855
569 10 5 100
shutdown 10 6
shutdown 10 7
throttle 10 8 0.399855
51 10 8 100
throttle 10 9 0.399855
303 10 9 100
throttle 10 11 0.399855
630 10 11 100
702 10 12 50
703 10 12 50
117 10 13 50
118 10 13 50
187 10 14 50
188 10 14 50
442 10 15 50
443 10 15 50
throttle 10 16 0.399855
585 10 16 100
shutdown 11 0
shutdown 11 1
throttle 11 2 0.399855
643 11 2 100
shutdown 11 3
317 11 4 100
throttle 11 5 0.399855
65 11 5 100
shutdown 11 6
shutdown 11 7
582 11 8 100
throttle 11 9 0.399855
330 11 9 100
258 11 10 3
259 11 10 96
760 11 12 96
759 11 12 3
507 11 13 50
508 11 13 50
throttle 11 14 0.399855
447 11 14 100
throttle 11 15 0.399855
193 11 15 100
208 11 16 50
207 11 16 50
throttle 12 0 0.399855
581 12 0 100
shutdown 12 1
throttle 12 2 0.399855
256 12 2 100
throttle 12 3 0.399855
504 12 3 100
shutdown 12 4
throttle 12 5 0.399855
654 12 5 100
shutdown 12 6
shutdown 12 7
204 12 8 50
206 12 8 49
456 12 9 12
458 12 9 87
717 12 10 90
718 12 10 9
141 12 11 50
142 12 11 50
270 12 13 50
271 12 13 49
throttle 12 14 0.399855
522 12 14 100
throttle 12 15 0.399855
771 12 15 100
669 12 16 50
670 12 16 50
201 13 0 50
202 13 0 50
throttle 13 1 0.399855
769 13 1 100
521 13 2 50
519 13 2 50
