tunnel_num s t weight
throttle 0 1 0.399855
162 0 1 100
throttle 0 2 0.399855
411 0 2 100
throttle 0 3 0.399855
672 0 3 100
89 0 4 50
87 0 4 50
342 0 5 50
343 0 5 50
throttle 0 6 0.399855
597 0 6 100
throttle 0 7 0.399855
21 0 7 100
352 0 8 50
353 0 8 50
throttle 0 9 0.399855
606 0 9 100
32 0 10 49
31 0 10 50
289 0 11 50
290 0 11 50
throttle 0 12 0.399855
534 0 12 100
780 0 13 50
781 0 13 50
213 0 14 50
214 0 14 50
465 0 15 50
466 0 15 50
throttle 0 16 0.399855
657 0 16 100
throttle 1 0 0.399855
348 1 0 100
throttle 1 2 0.399855
683 1 2 100
417 1 3 50
418 1 3 50
throttle 1 4 0.399855
531 1 4 100
throttle 1 5 0.399855
285 1 5 100
throttle 1 6 0.399855
27 1 6 100
603 1 7 50
604 1 7 50
shutdown 1 8
shutdown 1 9
shutdown 1 10
shutdown 1 11
shutdown 1 12
throttle 1 13 0.399855
733 1 13 100
473 1 14 5
471 1 14 94
222 1 15 50
223 1 15 50
shutdown 1 16
throttle 2 0 0.399855
786 2 0 100
throttle 2 1 0.362349
220 2 1 5
221 2 1 94
throttle 2 3 0.399855
540 2 3 100
throttle 2 4 0.399855
615 2 4 100
36 2 5 50
38 2 5 50
shutdown 2 6
throttle 2 7 0.399855
360 2 7 100
429 2 8 10
430 2 8 89
throttle 2 9 0.399855
690 2 9 100
744 2 10 47
745 2 10 52
180 2 11 50
181 2 11 50
232 2 12 50
231 2 12 50
480 2 13 50
481 2 13 50
552 2 14 50
553 2 14 50
802 2 15 50
803 2 15 50
726 2 16 50
727 2 16 50
426 3 0 100
177 3 1 50
179 3 1 50
throttle 3 2 0.399855
99 3 2 100
shutdown 3 4
357 3 5 50
358 3 5 50
throttle 3 6 0.399855
291 3 6 100
throttle 3 7 0.399855
33 3 7 100
throttle 3 8 0.399855
783 3 8 100
537 3 9 100
throttle 3 10 0.399855
468 3 10 100
throttle 3 11 0.399855
216 3 11 100
165 3 12 33
166 3 12 33
167 3 12 33
729 3 13 50
730 3 13 50
680 3 14 84
678 3 14 7
679 3 14 7
414 3 15 50
415 3 15 50
throttle 3 16 0.399855
489 3 16 100
48 4 0 50
50 4 0 50
throttle 4 1 0.399855
300 4 1 100
throttle 4 2 0.399855
549 4 2 100
795 4 3 50
797 4 3 49
throttle 4 5 0.399855
114 4 5 100
throttle 4 6 0.399855
373 4 6 100
628 4 7 50
629 4 7 49
424 4 8 50
423 4 8 50
throttle 4 9 0.399855
687 4 9 100
96 4 10 50
98 4 10 50
354 4 11 50
355 4 11 50
228 4 12 49
229 4 12 50
477 4 13 50
478 4 13 50
741 4 14 50
743 4 14 50
176 4 15 49
175 4 15 50
128 4 16 49
126 4 16 50
486 5 0 49
487 5 0 50
throttle 5 1 0.399855
243 5 1 100
809 5 2 50
807 5 2 50
561 5 3 50
562 5 3 50
throttle 5 4 0.399855
312 5 4 100
641 5 6 78
639 5 6 21
384 5 7 50
385 5 7 50
45 5 8 50
46 5 8 50
625 5 9 50
626 5 9 50
370 5 10 50
371 5 10 50
113 5 11 50
111 5 11 50
699 5 12 50
700 5 12 50
440 5 13 50
438 5 13 50
throttle 5 14 0.399855
183 5 14 100
752 5 15 50
750 5 15 50
577 5 16 50
578 5 16 50
throttle 6 0 0.399855
123 6 0 100
throttle 6 1 0.399855
381 6 1 100
throttle 6 2 0.699928
446 6 2 100
throttle 6 3 0.399855
706 6 3 100
310 6 4 50
311 6 4 50
560 6 5 89
558 6 5 10
throttle 6 7 0.399855
60 6 7 100
shutdown 6 8
shutdown 6 9
shutdown 6 10
shutdown 6 11
shutdown 6 12
190 6 13 100
throttle 6 14 0.399855
252 6 14 100
498 6 15 50
500 6 15 50
shutdown 6 16
570 7 0 100
throttle 7 1 0.399855
321 7 1 100
249 7 2 100
throttle 7 3 0.399855
0 7 3 100
394 7 4 2
395 7 4 97
136 7 5 50
135 7 5 50
throttle 7 6 0.399855
69 7 6 100
throttle 7 8 0.399855
196 7 8 100
throttle 7 9 0.399855
762 7 9 100
throttle 7 10 0.399855
715 7 10 100
throttle 7 11 0.399855
451 7 11 100
throttle 7 12 0.399855
13 7 12 100
588 7 13 50
589 7 13 50
513 7 14 33
514 7 14 33
515 7 14 33
261 7 15 33
262 7 15 33
263 7 15 33
throttle 7 16 0.399855
661 7 16 100
throttle 8 0 0.399855
435 8 0 100
shutdown 8 1
108 8 2 50
109 8 2 50
throttle 8 3 0.399855
366 8 3 100
throttle 8 4 0.399855
621 8 4 100
42 8 5 50
43 8 5 50
shutdown 8 6
throttle 8 7 0.399855
546 8 7 100
225 8 9 50
226 8 9 50
throttle 8 10 0.399855
474 8 10 100
736 8 11 50
735 8 11 50
171 8 12 33
172 8 12 33
173 8 12 33
420 8 13 33
421 8 13 33
422 8 13 33
684 8 14 50
685 8 14 50
94 8 15 50
95 8 15 50
497 8 16 50
495 8 16 50
54 9 0 100
shutdown 9 1
throttle 9 2 0.399855
375 9 2 100
throttle 9 3 0.399855
120 9 3 100
throttle 9 4 0.399855
234 9 4 100
805 9 5 50
806 9 5 50
shutdown 9 6
throttle 9 7 0.399855
307 9 7 100
432 9 8 93
433 9 8 6
747 9 10 50
748 9 10 50
483 9 11 50
484 9 11 50
618 9 12 11
619 9 12 11
620 9 12 77
363 9 13 50
364 9 13 50
105 9 14 49
106 9 14 50
throttle 9 15 0.399855
693 9 15 100
throttle 9 16 0.399855
132 9 16 100
493 10 0 50
494 10 0 50
shutdown 10 1
813 10 2 50
814 10 2 50
throttle 10 3 0.399855
246 10 3 100
318 10 4 100
568 10 5 50
569 10 5 50
shutdown 10 6
throttle 10 7 0.399855
67 10 7 100
throttle 10 8 0.399855
51 10 8 100
304 10 9 71
303 10 9 28
632 10 11 50
630 10 11 50
702 10 12 50
703 10 12 50
117 10 13 50
118 10 13 50
187 10 14 50
188 10 14 50
442 10 15 50
443 10 15 50
585 10 16 50
587 10 16 50
throttle 11 0 0.399855
129 11 0 100
shutdown 11 1
642 11 2 50
643 11 2 50
throttle 11 3 0.399855
387 11 3 100
315 11 4 5
317 11 4 94
65 11 5 50
63 11 5 50
shutdown 11 6
throttle 11 7 0.399855
565 11 7 100
582 11 8 100
330 11 9 50
331 11 9 50
258 11 10 3
259 11 10 93
260 11 10 3
760 11 12 92
761 11 12 3
759 11 12 3
507 11 13 33
508 11 13 33
509 11 13 33
448 11 14 50
447 11 14 50
193 11 15 50
194 11 15 50
208 11 16 50
207 11 16 50
579 12 0 49
581 12 0 50
shutdown 12 1
256 12 2 50
255 12 2 50
throttle 12 3 0.399855
504 12 3 100
throttle 12 4 0.399855
399 12 4 100
654 12 5 50
655 12 5 50
shutdown 12 6
throttle 12 7 0.399855
328 12 7 100
204 12 8 33
205 12 8 33
206 12 8 33
456 12 9 10
457 12 9 10
458 12 9 78
717 12 10 90
718 12 10 9
141 12 11 33
142 12 11 33
143 12 11 33
270 12 13 50
271 12 13 49
522 12 14 49
523 12 14 50
throttle 12 15 0.399855
771 12 15 100
669 12 16 50
670 12 16 50
201 13 0 50
202 13 0 50
throttle 13 1 0.399855
769 13 1 100
