tunnel_num s t weight
643 11 2 50
387 11 3 50
388 11 3 50
throttle 11 4 0.399855
315 11 4 100
throttle 11 5 0.399855
63 11 5 100
throttle 11 6 0.399855
811 11 6 100
564 11 7 50
565 11 7 50
584 11 8 1
582 11 8 98
330 11 9 50
331 11 9 50
258 11 10 50
260 11 10 50
throttle 11 12 0.399855
759 11 12 100
508 11 13 49
509 11 13 50
448 11 14 50
449 11 14 50
throttle 11 15 0.399855
194 11 15 100
throttle 11 16 0.399855
207 11 16 100
throttle 12 0 0.399855
579 12 0 100
shutdown 12 1
throttle 12 2 0.399855
255 12 2 100
shutdown 12 3
throttle 12 4 0.399855
399 12 4 100
throttle 12 5 0.399855
655 12 5 100
shutdown 12 6
throttle 12 7 0.399855
328 12 7 100
throttle 12 8 0.399855
204 12 8 100
457 12 9 12
458 12 9 87
717 12 10 100
throttle 12 11 0.399855
141 12 11 100
throttle 12 13 0.399855
271 12 13 100
throttle 12 14 0.399855
523 12 14 100
shutdown 12 15
throttle 12 16 0.399855
670 12 16 100
201 13 0 50
202 13 0 50
768 13 1 50
769 13 1 50
521 13 2 50
519 13 2 50
267 13 3 50
268 13 3 50
18 13 4 50
19 13 4 50
594 13 5 50
595 13 5 50
339 13 6 50
340 13 6 50
84 13 7 33
85 13 7 33
86 13 7 33
667 13 8 50
668 13 8 50
408 13 9 50
409 13 9 50
156 13 10 14
158 13 10 85
721 13 11 50
722 13 11 50
463 13 12 100
777 13 14 50
778 13 14 49
528 13 15 99
282 13 16 50
284 13 16 49
664 14 0 50
663 14 0 50
81 14 1 50
82 14 1 50
153 14 2 50
154 14 2 50
405 14 3 50
406 14 3 50
17 14 4 49
15 14 4 50
264 14 5 50
266 14 5 50
336 14 6 77
338 14 6 22
592 14 7 33
593 14 7 33
591 14 7 33
throttle 14 8 0.399855
390 14 8 100
453 14 9 50
454 14 9 50
516 14 10 33
517 14 10 33
518 14 10 33
766 14 11 50
767 14 11 49
throttle 14 12 0.399855
397 14 12 100
651 14 13 63
652 14 13 36
140 14 15 99
160 14 16 50
159 14 16 50
280 15 0 50
279 15 0 50
24 15 1 38
25 15 1 61
776 15 2 50
775 15 2 49
525 15 3 50
526 15 3 50
91 15 4 50
92 15 4 49
675 15 5 50
677 15 5 50
600 15 6 50
602 15 6 50
345 15 7 33
346 15 7 33
347 15 7 33
throttle 15 8 0.399855
611 15 8 100
402 15 9 50
404 15 9 50
333 15 10 50
335 15 10 50
throttle 15 11 0.399855
80 15 11 100
shutdown 15 12
210 15 13 50
211 15 13 50
152 15 14 50
150 15 14 50
378 15 16 50
379 15 16 50
792 16 0 50
793 16 0 50
throttle 16 1 0.399855
144 16 1 100
648 16 2 50
649 16 2 50
57 16 3 50
58 16 3 50
276 16 4 50
278 16 4 50
148 16 5 50
149 16 5 50
throttle 16 6 0.399855
9 16 6 100
712 16 7 50
711 16 7 49
636 16 8 50
637 16 8 50
501 16 9 50
503 16 9 50
throttle 16 10 0.399855
510 16 10 100
738 16 11 50
740 16 11 50
throttle 16 12 0.399855
724 16 12 100
240 16 13 50
241 16 13 50
237 16 14 9
238 16 14 90
798 16 15 50
799 16 15 50
